인천,남동구,101~135㎡,76,55,47,70,62,79,77,91,95,104,120,74,62,75,63,57,61,95,98,91,123,88,87,69,72,66,72,57,62,74,71,66,74,113,64,57,66,58
인천,남동구,136~165㎡,28,11,10,7,17,6,12,22,10,21,16,13,5,5,10,8,15,12,21,7,9,15,6,5,11,20,18,11,6,12,5,4,13,20,12,14,12,6
인천,남동구,166~198㎡,2,0,0,0,3,2,0,0,2,2,0,1,0,0,1,1,2,1,2,4,2,0,2,2,0,2,1,0,0,0,0,1,1,0,1,0,1,1
인천,남동구,198㎡초과,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
인천,부평구,합계,460,428,612,763,813,854,898,965,862,921,786,522,378,388,565,585,766,750,827,737,679,611,624,825,1987,444,644,615,4668,1358,526,471,597,1015,759,1311,549,392
인천,부평구,20㎡이하,17,7,13,7,7,15,7,15,10,10,16,9,5,18,7,16,10,6,10,5,6,10,14,6,16,4,7,8,45,3,10,3,9,2,10,62,5,3
인천,부평구,21~40㎡,34,34,49,64,60,63,58,78,52,64,35,35,30,34,49,53,43,53,49,39,45,35,44,33,31,33,45,55,208,36,40,35,32,48,47,40,36,41
인천,부평구,41~60㎡,212,205,299,400,412,410,409,445,388,422,348,231,167,159,258,282,388,364,407,329,303,292,306,299,864,229,320,289,2320,610,232,234,286,449,305,582,260,202
인천,부평구,61~85㎡,138,129,201,227,263,280,327,339,324,328,303,193,133,130,193,187,267,264,275,286,251,219,199,443,1025,136,207,207,2054,672,198,162,210,421,316,581,206,115
인천,부평구,86~100㎡,10,2,3,4,8,11,8,9,1,4,5,4,4,2,3,4,5,8,7,13,6,4,1,3,6,2,5,5,7,4,5,4,10,15,12,5,3,3
인천,부평구,101~135㎡,47,48,46,53,59,65,79,70,76,84,70,40,36,43,49,39,40,55,75,60,62,45,52,39,39,37,55,45,26,29,38,29,48,72,64,35,38,25
인천,부평구,136~165㎡,1,2,1,8,4,7,10,6,8,8,8,9,2,2,5,2,11,0,4,5,5,6,6,2,5,3,5,2,7,4,3,4,2,7,5,6,1,2
인천,부평구,166~198㎡,1,1,0,0,0,3,0,3,3,1,1,1,1,0,1,2,2,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
인천,부평구,198㎡초과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
인천,계양구,합계,338,325,472,582,543,647,582,662,598,704,590,387,257,352,458,440,567,749,896,1142,587,412,409,367,338,350,395,928,1483,931,302,312,333,558,362,293,711,316
인천,계양구,20㎡이하,1,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,1,0,1,2,1,1,1,1,2,0,0,3,1,3,2,0,2,0,0,2,0,0
인천,계양구,21~40㎡,38,43,75,75,73,80,78,85,61,78,71,48,32,41,55,51,69,73,90,81,56,41,43,46,45,43,47,50,58,128,48,42,38,48,44,32,51,34
인천,계양구,41~60㎡,168,162,230,286,262,304,262,311,303,353,285,195,131,192,240,231,290,418,558,388,295,204,209,177,177,187,204,390,596,409,140,142,163,253,152,144,456,162
인천,계양구,61~85㎡,103,85,137,168,156,190,196,224,181,220,190,121,66,94,135,135,172,220,212,636,209,145,125,123,94,101,123,444,778,346,89,104,105,225,137,95,173,101
인천,계양구,86~100㎡,7,4,4,6,7,15,10,6,8,14,15,3,3,6,9,7,8,16,7,10,8,7,3,4,4,8,8,22,32,20,2,7,8,15,8,2,8,5
인천,계양구,101~135㎡,19,24,18,27,35,43,32,28,42,32,28,17,24,16,13,14,26,20,26,24,17,11,25,11,15,11,12,16,15,19,17,16,14,14,19,15,19,10
인천,계양구,136~165㎡,2,7,8,20,8,15,3,7,3,7,1,2,1,0,4,0,0,2,2,1,1,3,2,0,1,0,1,3,0,3,4,0,2,2,2,3,3,2
인천,계양구,166~198㎡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
인천,계양구,198㎡초과,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,5,0,0,0,0,3,1,0,1,1,1,0,0,1,2
인천,서구,합계,372,410,549,685,1022,936,864,887,1070,1467,1416,863,803,498,689,714,838,992,1301,2406,1417,1168,2329,1651,1829,1868,1609,1412,1182,1300,850,815,982,1385,1436,2459,2790,5033
인천,서구,20㎡이하,1,6,0,1,0,0,1,3,2,1,3,2,5,2,1,1,0,1,3,1,1,0,0,2,0,2,1,2,2,7,2,0,0,2,2,3,2,0
