구시군,읍면동,아파트명,분양면적,총세대수,세대수,매매평균..당가.만원.,X3.3.당가.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,3년 평균 인구수,3년 평균 세대수,초중고현황,개발호재유무
계양구,작전동,유호,105.78,299,174,196,648.5,23,1,184,1.8,3,39,1,56565,22155,7,
계양구,작전동,코오롱,62.81,480,180,231,763.2,29.02,1,172,1.8,3,39,1,56565,22155,7,
계양구,작전동,코오롱,72.72,480,90,227,750.1,29.02,1,170,1.8,3,39,1,56565,22155,7,
계양구,작전동,코오롱,82.64,480,90,227,750,29.02,1,168,1.8,3,39,1,56565,22155,7,
계양구,작전동,코오롱,79.33,480,60,221,729.3,29.02,1,167,1.8,3,39,1,56565,22155,7,
계양구,작전동,코오롱,89.25,480,60,218,722.3,29.02,1,163,1.8,3,39,1,56565,22155,7,
계양구,작전동,팬더(864-17),62.81,82,46,219,723.7,28.08,1,135,1.8,3,39,1,56565,22155,7,
계양구,작전동,팬더(864-17),69.42,82,36,216,714.3,28.08,1,133,1.8,3,39,1,56565,22155,7,
계양구,작전동,풍림아이원,89.61,468,164,307,1014.5,15.11,1,210,1.8,3,39,1,56565,22155,7,
계양구,작전동,풍림아이원,109.62,468,304,278,919.8,15.11,1,206,1.8,3,39,1,56565,22155,7,
계양구,작전동,한국,109.09,250,98,234,772.7,20.11,1,192,1.8,3,39,1,56565,22155,7,
계양구,작전동,한국,85.95,250,152,221,730.8,20.11,1,174,1.8,3,39,1,56565,22155,7,
계양구,작전동,한신,82.64,259,88,215,710,27.02,1,188,1.8,3,39,1,56565,22155,7,
계양구,작전동,한신,105.78,259,171,203,671.9,27.02,1,175,1.8,3,39,1,56565,22155,7,
계양구,작전동,한아름,62.81,150,42,195,644.7,27.08,1,135,1.8,3,39,1,56565,22155,7,
계양구,작전동,한아름,76.03,150,108,184,608.7,27.08,1,183,1.8,3,39,1,56565,22155,7,
계양구,작전동,한양,79.33,280,196,221,729.3,33.02,1,147,1.8,3,39,1,56565,22155,7,
계양구,작전동,한양,109.09,280,84,211,697,33.02,1,188,1.8,3,39,1,56565,22155,7,
계양구,작전동,한일,79.33,168,36,233,770.9,27.07,1,183,1.8,3,39,1,56565,22155,7,
계양구,작전동,한일,82.64,168,36,227,750,27.07,1,180,1.8,3,39,1,56565,22155,7,
계양구,작전동,한일,85.95,168,24,227,750,27.07,1,179,1.8,3,39,1,56565,22155,7,
계양구,작전동,한일,89.25,168,48,224,740.8,27.07,1,173,1.8,3,39,1,56565,22155,7,
계양구,작전동,한일,92.56,168,24,216,714.3,27.07,1,175,1.8,3,39,1,56565,22155,7,
계양구,작전동,한화,82.64,179,179,218,720,20.1,1,172,1.8,3,39,1,56565,22155,7,
계양구,작전동,현광,72.72,392,140,193,636.4,26.04,1,158,1.8,3,39,1,56565,22155,7,
계양구,작전동,현광,79.33,392,203,186,614.7,26.04,1,157,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대,82.64,150,40,188,620,33.08,1,139,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대,92.56,150,110,187,619.7,33.08,1,135,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대1차,102.47,570,420,256,846.9,28.03,1,218,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대1차,89.25,570,150,255,842.7,28.03,1,212,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-1차,95.86,840,240,243,801.8,27.02,1,203,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-1차,105.78,840,120,239,789.1,27.02,1,199,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-1차,105.78,840,480,239,789.1,27.02,1,199,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-2차,105.78,904,648,255,843.8,24,1,217,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-2차,168.59,904,128,219,725.5,24,1,172,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대2-2차,185.12,904,128,205,678.6,24,1,157,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대3차,99.17,390,17,247,816.7,26.01,1,195,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대3차,99.17,390,54,247,816.7,26.01,1,188,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대3차,109.09,390,166,238,787.9,26.01,1,187,1.8,3,39,1,56565,22155,7,
계양구,작전동,현대3차,79.33,390,153,230,760.5,26.01,1,187,1.8,3,39,1,56565,22155,7,
계양구,계양동,대창센시티,85.71,187,84,292,964.2,12.07,3,239,30.45,4,63,0,88417,33845,13,
계양구,계양동,대창센시티,98.49,187,15,274,906.3,12.07,3,239,30.45,4,63,0,88417,33845,13,
계양구,계양동,대창센시티,110.05,187,88,268,886.2,12.07,3,236,30.45,4,63,0,88417,33845,13,
계양구,계양동,한성,56.19,200,80,245,808.9,28.05,3,134,30.45,4,63,0,88417,33845,13,
계양구,계양동,한성,59.5,200,120,231,763.9,28.05,3,133,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,111.27,715,145,333,1099.3,5.1,3,265,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,111.42,715,221,332,1097.8,5.1,3,265,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,111.65,715,174,331,1095.5,5.1,3,264,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,131.57,715,87,308,1017.6,5.1,3,247,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,150.38,715,30,299,989.2,5.1,3,233,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌1단지,150.38,715,58,299,989.2,5.1,3,233,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,110.72,256,79,330,1089.8,5.05,3,271,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,110.87,256,53,329,1088.3,5.05,3,271,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,111.1,256,26,329,1086.1,5.05,3,270,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,132.19,256,54,308,1019.1,5.05,3,246,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,150.36,256,14,299,989.4,5.05,3,243,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌2단지,150.36,256,30,299,989.4,5.05,3,243,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,112.11,454,79,319,1054.2,5.05,3,263,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,112.26,454,66,318,1052.8,5.05,3,263,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,112.49,454,50,318,1050.6,5.05,3,262,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,132.06,454,109,307,1013.8,5.05,3,246,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,153.04,454,12,294,972,5.05,3,229,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,153.05,454,62,294,972,5.05,3,229,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,177.28,454,26,285,941.7,5.05,3,220,30.45,4,63,0,88417,33845,13,
계양구,계양동,계양센트레빌3단지,177.29,454,50,285,941.6,5.05,3,220,30.45,4,63,0,88417,33845,13,
계양구,계양동,귤현IPARK,105.79,394,394,267,882.8,14.02,3,227,30.45,4,63,0,88417,33845,13,
계양구,계양동,신명진달래1차,62.81,258,156,179,592.1,29.04,3,123,30.45,4,63,0,88417,33845,13,
계양구,계양동,신명진달래1차,52.89,258,96,175,578.2,29.04,3,104,30.45,4,63,0,88417,33845,13,
계양구,계양동,신명진달래2차,52.89,204,132,180,593.8,29.04,3,123,30.45,4,63,0,88417,33845,13,
계양구,계양동,신명진달래2차,62.81,204,72,179,592.1,29.04,3,104,30.45,4,63,0,88417,33845,13,
계양구,계양동,아주,69.42,468,84,187,619.1,29.03,3,133,30.45,4,63,0,88417,33845,13,
계양구,계양동,아주,66.11,468,36,178,587.6,29.03,3,125,30.45,4,63,0,88417,33845,13,
계양구,계양동,아주,52.89,468,204,175,578.2,29.03,3,111,30.45,4,63,0,88417,33845,13,
계양구,계양동,아주,62.81,468,144,171,565.8,29.03,3,104,30.45,4,63,0,88417,33845,13,
계양구,계양동,영무예다음,81.31,79,79,215,711.5,11.02,3,160,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을서원,79.33,688,448,303,1000.1,21.07,3,265,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을서원,46.28,688,64,297,982.2,21.07,3,238,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을서원,46.28,688,176,297,982.2,21.07,3,238,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을서해,79.33,1261,742,328,1083.5,21.03,3,271,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을서해,39.66,1261,519,277,916.9,21.03,3,202,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을영남,82.52,1047,700,300,991.5,21.02,3,261,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을영남,40.29,1047,347,279,923.1,21.02,3,211,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을한진,52.89,1500,200,284,937.5,20.01,3,243,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을한진,81.14,1500,400,265,876,20.01,3,241,30.45,4,63,0,88417,33845,13,
계양구,계양동,학마을한진,69.85,1500,900,265,875.6,20.01,3,228,30.45,4,63,0,88417,33845,13,
계양구,계산동,용종신대진,49.58,562,160,313,1033.5,21.04,2,259,4.55,5,91,0,84796,34699,17,
계양구,계산동,용종신대진,102.47,562,402,303,1000.1,21.04,2,232,4.55,5,91,0,84796,34699,17,
계양구,계산동,용종중앙,56.15,428,128,294,971.4,21.02,2,241,4.55,5,91,0,84796,34699,17,
계양구,계산동,용종중앙,105.72,428,300,284,938.1,21.02,2,205,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을동아,119,616,440,303,1000.1,21.01,2,248,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을동아,152.06,616,176,283,934.8,21.01,2,220,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을두산,120.53,414,288,299,987.4,21.01,2,241,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을두산,149.75,414,126,294,971.3,21.01,2,230,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을쌍용,120.53,384,228,299,987.4,21.01,2,241,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을쌍용,149.75,384,156,294,971.3,21.01,2,230,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을하나,33.05,972,168,287,950.2,21.04,2,241,4.55,5,91,0,84796,34699,17,
계양구,계산동,초정마을하나,105.78,972,804,284,937.5,21.04,2,219,4.55,5,91,0,84796,34699,17,
남동구,만수동,고운웰리움,77.8,101,60,238,786.1,12.04,2,167,6.01,6,87,0,131757,52168,20,
남동구,만수동,광명,102.47,870,750,224,742,27.01,2,156,6.01,6,87,0,131757,52168,20,
남동구,만수동,광명,92.56,870,120,224,741.1,27.01,2,194,6.01,6,87,0,131757,52168,20,
남동구,만수동,금호,125.62,414,148,219,723.7,26,2,190,6.01,6,87,0,131757,52168,20,
남동구,만수동,남동,69.42,770,335,227,750,26.01,2,191,6.01,6,87,0,131757,52168,20,
남동구,만수동,남동,82.64,770,435,224,740,26.01,2,161,6.01,6,87,0,131757,52168,20,
남동구,만수동,담방마을시영2차,66.11,1100,72,238,787.6,24.07,2,194,6.01,6,87,0,131757,52168,20,
남동구,만수동,담방마을시영2차,66.11,1100,461,238,787.6,24.07,2,175,6.01,6,87,0,131757,52168,20,
남동구,만수동,대동,82.64,560,96,221,730,26.08,2,156,6.01,6,87,0,131757,52168,20,
남동구,만수동,대동,102.47,560,464,220,725.9,26.08,2,189,6.01,6,87,0,131757,52168,20,
