"","지.역","X","X.1","X2016년.12월","X.2","X2017년.01월","X.3","X2017년.02월","X.4","X2017년.03월","X.5","X2017년.04월","X.6","X2017년.05월","X.7","X2017년.06월","X.8","X2017년.07월","X.9","X2017년.08월","X.10","X2017년.09월","X.11","X2017년.10월","X.12","X2017년.11월","X.13","X2017년.12월","X.14","X2018년.01월","X.15","X2018년.02월","X.16","X2018년.03월","X.17","X2018년.04월","X.18","X2018년.05월","X.19","X2018년.06월","X.20","X2018년.07월","X.21","X2018년.08월","X.22","X2018년.09월","X.23","X2018년.10월","X.24","X2018년.11월","X.25","X2018년.12월","X.26"
"1","","","","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계"
"27","","","신포동","0.138","0.927","0.181","0.181","0.164","0.346","0.184","0.53","0.187","0.718","0.202","0.922","0.074","0.997","0.252","1.251","0.278","1.533","0.338","1.876","0.223","2.104","0.167","2.275","0.115","2.393","0.077","0.077","0.173","0.251","0.08","0.331","0.435","0.768","0.088","0.856","0.191","1.049","0.235","1.287","0.41","1.703","0.163","1.869","0.343","2.218","0.293","2.517","0.21","2.733"
"28","","","답동","0.138","0.927","0.181","0.181","0.164","0.346","0.184","0.53","0.187","0.718","0.202","0.922","0.074","0.997","0.252","1.251","0.278","1.533","0.338","1.876","0.223","2.104","0.167","2.275","0.115","2.393","0.077","0.077","0.173","0.251","0.08","0.331","0.435","0.768","0.088","0.856","0.191","1.049","0.235","1.287","0.41","1.703","0.163","1.869","0.343","2.218","0.293","2.517","0.21","2.733"
"29","","","신흥동1가","0.03","0.727","0.129","0.129","0.247","0.376","0.277","0.654","0.308","0.964","0.415","1.383","0.046","1.43","0.491","1.927","0.246","2.178","0.431","2.619","0.047","2.667","0.5","3.181","0.365","3.558","0.237","0.237","0.141","0.377","0.155","0.533","0.364","0.899","0.258","1.159","0.087","1.247","0.255","1.505","0.309","1.819","0.209","2.031","0.382","2.421","0.354","2.784","0.242","3.033"
"32","","","선화동","0.03","0.727","0.129","0.129","0.247","0.376","0.277","0.654","0.308","0.964","0.415","1.383","0.046","1.43","0.491","1.927","0.246","2.178","0.431","2.619","0.047","2.667","0.5","3.181","0.365","3.558","0.237","0.237","0.141","0.377","0.155","0.533","0.364","0.899","0.258","1.159","0.087","1.247","0.255","1.505","0.309","1.819","0.209","2.031","0.382","2.421","0.354","2.784","0.242","3.033"
"33","","","유동","0.17","0.196","0.107","0.107","0.144","0.251","0.013","0.264","0.118","0.382","0.174","0.557","-0.074","0.482","0.114","0.597","0.042","0.639","0.296","0.936","0.178","1.116","0.119","1.237","0.201","1.441","0.157","0.157","0.157","0.315","0.197","0.513","0.179","0.693","0.204","0.899","0.265","1.166","0.296","1.465","0.478","1.951","0.212","2.167","0.358","2.533","0.107","2.642","0.395","3.048"
"34","","","율목동","0.17","0.196","0.107","0.107","0.144","0.251","0.013","0.264","0.118","0.382","0.174","0.557","-0.074","0.482","0.114","0.597","0.042","0.639","0.296","0.936","0.178","1.116","0.119","1.237","0.201","1.441","0.157","0.157","0.157","0.315","0.197","0.513","0.179","0.693","0.204","0.899","0.265","1.166","0.296","1.465","0.478","1.951","0.212","2.167","0.358","2.533","0.107","2.642","0.395","3.048"
"35","","","도원동","0.072","0.72","0.093","0.093","0.125","0.218","0.031","0.249","0.031","0.28","0.139","0.419","0.037","0.456","0.185","0.642","0.082","0.724","0.154","0.879","0.166","1.047","0.158","1.207","0.228","1.438","0.197","0.197","0.255","0.452","0.147","0.6","0.195","0.796","0.147","0.944","0.362","1.309","0.3","1.614","0.308","1.927","0.192","2.123","0.338","2.468","0.347","2.823","0.087","2.913"
"36","","","내동","0.118","0.248","0.111","0.111","0.1","0.211","0.162","0.374","0.215","0.589","0.219","0.81","0.162","0.974","0.137","1.113","0.137","1.252","0.223","1.477","0.16","1.64","0.077","1.718","0.341","2.065","0.169","0.169","0.331","0.501","0.197","0.699","0.179","0.879","0.375","1.258","0.272","1.533","0.149","1.684","0.266","1.954","0.23","2.189","0.328","2.525","0.325","2.859","0.237","3.102"
"37","","","경동","0.118","0.248","0.111","0.111","0.1","0.211","0.162","0.374","0.215","0.589","0.219","0.81","0.162","0.974","0.137","1.113","0.137","1.252","0.223","1.477","0.16","1.64","0.077","1.718","0.341","2.065","0.169","0.169","0.331","0.501","0.197","0.699","0.179","0.879","0.375","1.258","0.272","1.533","0.149","1.684","0.266","1.954","0.23","2.189","0.328","2.525","0.325","2.859","0.237","3.102"
"38","","","용동","0.118","0.248","0.111","0.111","0.1","0.211","0.162","0.374","0.215","0.589","0.219","0.81","0.162","0.974","0.137","1.113","0.137","1.252","0.223","1.477","0.16","1.64","0.077","1.718","0.341","2.065","0.169","0.169","0.331","0.501","0.197","0.699","0.179","0.879","0.375","1.258","0.272","1.533","0.149","1.684","0.266","1.954","0.23","2.189","0.328","2.525","0.325","2.859","0.237","3.102"
"39","","","인현동","0.131","0.366","0.083","0.083","0.053","0.136","0.166","0.302","0.197","0.499","0.136","0.636","0.081","0.718","0.224","0.944","0.043","0.987","0.154","1.143","0.121","1.265","0.186","1.454","0.167","1.624","0.116","0.116","0.095","0.211","0.265","0.477","0.206","0.684","0.129","0.814","0.421","1.238","0.544","1.789","0.288","2.081","0.151","2.236","0.276","2.518","0.342","2.869","0.234","3.109"
"40","","","전동","0.131","0.366","0.083","0.083","0.053","0.136","0.166","0.302","0.197","0.499","0.136","0.636","0.081","0.718","0.224","0.944","0.043","0.987","0.154","1.143","0.121","1.265","0.186","1.454","0.167","1.624","0.116","0.116","0.095","0.211","0.265","0.477","0.206","0.684","0.129","0.814","0.421","1.238","0.544","1.789","0.288","2.081","0.151","2.236","0.276","2.518","0.342","2.869","0.234","3.109"
"41","","","북성동1가","0.191","0.464","0.198","0.198","0.235","0.433","0.273","0.708","0.25","0.959","0.28","1.242","0.113","1.356","0.028","1.384","0.223","1.611","0.308","1.924","0.026","1.951","0.303","2.261","0.427","2.697","0.287","0.287","0.115","0.402","0.199","0.603","0.124","0.727","0.1","0.828","0.227","1.057","0.272","1.332","0.304","1.641","0.164","1.807","0.289","2.101","0.178","2.283","0.166","2.453"
"44","","","선린동","0.014","1.105","0.023","0.023","0.185","0.208","0.048","0.256","0.055","0.311","0.028","0.339","-0.046","0.293","0.407","0.701","0.492","1.197","0.397","1.599","0.186","1.788","0.228","2.02","0.318","2.344","0.232","0.232","0.188","0.42","0.114","0.534","0.238","0.774","0.157","0.932","0.268","1.203","0.267","1.473","0.305","1.783","0.196","1.982","0.339","2.328","0.38","2.717","0.376","3.103"
"45","","","송월동1가","0.108","1.045","0.097","0.097","0.108","0.205","0.158","0.363","0.049","0.412","0.062","0.473","0.061","0.534","0.223","0.758","0.161","0.92","0.265","1.188","0.133","1.323","0.174","1.498","0.202","1.703","0.131","0.131","0.052","0.183","0.148","0.331","0.231","0.563","0.27","0.834","0.207","1.042","0.169","1.213","0.396","1.614","0.148","1.764","0.402","2.173","0.264","2.443","0.329","2.78"
