"","지.역","X","X.1","X2016년.12월","X.2","X2017년.01월","X.3","X2017년.02월","X.4","X2017년.03월","X.5","X2017년.04월","X.6","X2017년.05월","X.7","X2017년.06월","X.8","X2017년.07월","X.9","X2017년.08월","X.10","X2017년.09월","X.11","X2017년.10월","X.12","X2017년.11월","X.13","X2017년.12월","X.14","X2018년.01월","X.15","X2018년.02월","X.16","X2018년.03월","X.17","X2018년.04월","X.18","X2018년.05월","X.19","X2018년.06월","X.20","X2018년.07월","X.21","X2018년.08월","X.22","X2018년.09월","X.23","X2018년.10월","X.24","X2018년.11월","X.25","X2018년.12월","X.26"
"1","","","","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계"
"80","","","구월동","0.244","1.637","0.131","0.131","0.223","0.354","0.428","0.784","0.391","1.178","0.355","1.537","0.378","1.921","0.876","2.814","0.919","3.759","0.421","4.196","0.149","4.351","0.313","4.678","0.29","4.981","0.175","0.175","0.552","0.728","0.386","1.117","0.133","1.251","0.648","1.906","1.136","3.064","0.398","3.474","0.607","4.102","0.418","4.537","0.671","5.239","0.481","5.745","0.653","6.436"
"81","","","간석동","0.213","2.472","0.198","0.198","0.282","0.48","0.311","0.792","0.353","1.149","0.364","1.517","0.364","1.886","0.379","2.272","0.696","2.984","0.526","3.525","0.33","3.867","0.399","4.281","0.442","4.742","0.4","0.4","0.19","0.591","0.396","0.989","0.612","1.607","0.441","2.055","-0.017","2.038","0.433","2.48","0.485","2.977","0.514","3.507","0.407","3.928","0.719","4.675","0.755","5.465"
"82","","","만수동","0.172","0.851","0.188","0.188","0.293","0.481","0.283","0.766","0.331","1.099","0.334","1.437","0.333","1.774","0.602","2.387","0.329","2.723","0.643","3.384","0.015","3.4","0.092","3.495","-0.281","3.204","0.303","0.303","0.192","0.495","0.289","0.785","0.141","0.928","0.296","1.227","-0.095","1.131","0.17","1.303","0.224","1.53","0.376","1.912","0.447","2.368","0.412","2.79","0.325","3.123"
"83","","","장수동","0.175","1.511","0.196","0.196","0.331","0.527","0.229","0.758","0.258","1.017","0.296","1.317","0.301","1.621","0.182","1.806","0.025","1.831","0.042","1.874","0.132","2.008","-0.089","1.918","0.037","1.956","0.537","0.537","-0.329","0.206","0.136","0.342","1.162","1.508","0.225","1.736","-0.245","1.486","0","1.486","0.137","1.625","0.144","1.771","0.143","1.917","0.093","2.012","0.201","2.217"
"84","","","서창동","0.3","2.573","0.162","0.162","0.249","0.411","0.386","0.799","0.323","1.125","0.328","1.457","0.363","1.825","-0.523","1.292","0.595","1.894","-0.26","1.629","-0.054","1.574","0.09","1.666","0.081","1.749","0.197","0.197","0.221","0.418","-0.089","0.329","0.441","0.772","-0.233","0.537","0.095","0.632","0.456","1.091","0.183","1.276","0.137","1.415","0.347","1.767","0.357","2.13","0.248","2.383"
"85","","","운연동","0.182","1.387","0.128","0.128","0.334","0.462","0.353","0.817","0.275","1.094","0.335","1.432","0.299","1.736","-0.745","0.978","0.055","1.034","0.512","1.551","0.456","2.014","0.142","2.159","0.836","3.014","0.694","0.694","-0.113","0.58","-0.087","0.493","0.924","1.421","0.344","1.77","0.085","1.857","0.13","1.989","0.329","2.325","0.175","2.504","0.201","2.71","0.379","3.1","0.19","3.296"
"86","","","남촌동","0.235","1.346","0.139","0.139","0.122","0.26","0.273","0.534","0.278","0.813","0.202","1.017","0.29","1.31","0.262","1.575","1.025","2.617","-0.298","2.311","0.081","2.393","-0.078","2.314","0.583","2.91","0.286","0.286","0.078","0.365","-0.071","0.294","-0.036","0.258","0.65","0.909","0.11","1.02","0.599","1.625","0.429","2.061","0.371","2.44","0.352","2.801","0.083","2.886","0.304","3.199"
"87","","","수산동","0.148","1.069","0.15","0.15","0.25","0.4","0.259","0.66","0.293","0.955","0.346","1.304","0.355","1.664","0.094","1.759","-0.439","1.313","0.084","1.398","0.071","1.47","0.017","1.487","0.458","1.951","0.434","0.434","-0.147","0.286","0.877","1.166","-0.002","1.164","0.492","1.661","0.298","1.964","0.286","2.256","0.138","2.397","0.439","2.846","0.18","3.031","0.082","3.116","0.18","3.302"
"88","","","도림동","0.227","1.128","0.13","0.13","0.258","0.388","0.289","0.678","0.332","1.013","0.283","1.299","0.309","1.612","0.125","1.739","0.506","2.254","-0.054","2.199","0.375","2.582","0.341","2.932","0.669","3.621","0.375","0.375","0.274","0.65","0.52","1.174","0.479","1.658","0.466","2.132","0.095","2.229","0.418","2.657","0.226","2.889","0.197","3.091","0.398","3.501","0.297","3.808","0.379","4.202"
"89","","","논현동","0.132","0.995","0.191","0.191","0.311","0.502","0.3","0.804","0.318","1.125","0.299","1.427","0.317","1.749","0.081","1.832","0.024","1.856","-0.019","1.837","-0.009","1.828","0.141","1.971","0.494","2.475","-0.057","-0.057","0.047","-0.011","0.095","0.084","-0.115","-0.031","-0.009","-0.04","0.155","0.115","0.222","0.337","0.205","0.543","0.44","0.985","0.352","1.341","0.419","1.766","0.277","2.048"
"90","","","고잔동","0.115","3.486","0.084","0.084","0.23","0.314","0.234","0.548","0.333","0.883","0.277","1.163","0.294","1.46","0.469","1.936","0.26","2.2","0.229","2.434","0.325","2.767","0.112","2.882","-0.451","2.417","-0.306","-0.306","-0.058","-0.364","0.143","-0.221","0.767","0.544","0.322","0.868","0.72","1.595","0.4","2.001","0.173","2.178","0.219","2.401","0.358","2.768","0.478","3.259","0.305","3.574"
"91","","부평구","","0.079","1.415","0.172","0.172","0.38","0.553","0.368","0.922","0.45","1.377","0.334","1.716","0.42","2.143","0.397","2.549","0.298","2.855","0.276","3.139","0.259","3.405","0.233","3.646","0.208","3.862","0.163","0.163","0.111","0.274","0.195","0.469","0.189","0.659","0.236","0.897","0.306","1.205","0.355","1.564","0.377","1.947","0.361","2.316","0.425","2.751","0.399","3.16","0.389","3.562"
"92","","","부평동","0.076","1.843","0.294","0.294","0.537","0.832","0.414","1.25","0.661","1.92","0.538","2.468","0.354","2.831","0.36","3.201","0.215","3.422","0.353","3.787","0.224","4.02","0.329","4.362","0.269","4.642","0.141","0.141","0.125","0.266","0.284","0.551","0.195","0.747","0.243","0.991","0.292","1.286","0.392","1.684","0.408","2.098","0.383","2.488","0.389","2.887","0.41","3.309","0.354","3.674"
"93","","","십정동","0.079","1.065","0.069","0.069","0.173","0.242","0.446","0.688","0.321","1.011","0.228","1.241","0.441","1.688","0.441","2.136","0.344","2.488","0.255","2.75","0.172","2.927","0.336","3.272","0.153","3.43","0.271","0.271","0.115","0.385","0.186","0.572","0.23","0.803","0.291","1.096","0.331","1.431","0.36","1.796","0.447","2.251","0.404","2.664","0.452","3.128","0.42","3.561","0.45","4.027"
"94","","","산곡동","0.079","1.065","0.069","0.069","0.173","0.242","0.446","0.688","0.321","1.011","0.228","1.241","0.441","1.688","0.441","2.136","0.344","2.488","0.255","2.75","0.172","2.927","0.336","3.272","0.153","3.43","0.271","0.271","0.115","0.385","0.186","0.572","0.23","0.803","0.291","1.096","0.331","1.431","0.36","1.796","0.447","2.251","0.404","2.664","0.452","3.128","0.42","3.561","0.45","4.027"
"95","","","청천동","0.11","1.614","0.163","0.163","0.582","0.746","0.327","1.076","0.538","1.619","0.082","1.702","0.588","2.3","0.466","2.777","0.305","3.091","0.271","3.37","0.377","3.76","0.037","3.798","0.186","3.991","0.082","0.082","0.127","0.208","0.117","0.326","0.19","0.516","0.221","0.738","0.35","1.09","0.372","1.467","0.306","1.777","0.333","2.116","0.496","2.622","0.388","3.021","0.38","3.413"
"96","","","삼산동","0.072","1.187","0.096","0.096","0.224","0.32","0.265","0.586","0.231","0.818","0.377","1.198","0.377","1.58","0.383","1.969","0.397","2.373","0.187","2.565","0.347","2.921","0.114","3.038","0.166","3.209","0.133","0.133","0.081","0.214","0.146","0.36","0.125","0.486","0.201","0.688","0.278","0.968","0.292","1.263","0.315","1.581","0.301","1.887","0.434","2.33","0.385","2.724","0.388","3.122"
"97","","","갈산동","0.072","1.187","0.096","0.096","0.224","0.32","0.265","0.586","0.231","0.818","0.377","1.198","0.377","1.58","0.383","1.969","0.397","2.373","0.187","2.565","0.347","2.921","0.114","3.038","0.166","3.209","0.133","0.133","0.081","0.214","0.146","0.36","0.125","0.486","0.201","0.688","0.278","0.968","0.292","1.263","0.315","1.581","0.301","1.887","0.434","2.33","0.385","2.724","0.388","3.122"
"98","","","부개동","0.076","1.843","0.294","0.294","0.537","0.832","0.414","1.25","0.661","1.92","0.538","2.468","0.354","2.831","0.36","3.201","0.215","3.422","0.353","3.787","0.224","4.02","0.329","4.362","0.269","4.642","0.141","0.141","0.125","0.266","0.284","0.551","0.195","0.747","0.243","0.991","0.292","1.286","0.392","1.684","0.408","2.098","0.383","2.488","0.389","2.887","0.41","3.309","0.354","3.674"
"99","","","일신동","0","0.527","0.221","0.221","0.228","0.45","0.122","0.573","0.128","0.702","0.196","0.899","0.304","1.206","0.193","1.401","0.22","1.624","0.169","1.796","0.203","2.003","0.155","2.161","0.359","2.528","0.145","0.145","0.046","0.191","0.059","0.251","0.142","0.393","0.043","0.436","0.202","0.639","0.22","0.86","0.272","1.134","0.293","1.431","0.188","1.622","0.285","1.912","0.325","2.243"
"100","","","구산동","0","0.527","0.221","0.221","0.228","0.45","0.122","0.573","0.128","0.702","0.196","0.899","0.304","1.206","0.193","1.401","0.22","1.624","0.169","1.796","0.203","2.003","0.155","2.161","0.359","2.528","0.145","0.145","0.046","0.191","0.059","0.251","0.142","0.393","0.043","0.436","0.202","0.639","0.22","0.86","0.272","1.134","0.293","1.431","0.188","1.622","0.285","1.912","0.325","2.243"
"101","","계양구","","0.07","1.375","0.101","0.101","0.187","0.288","0.222","0.511","0.096","0.608","0.373","0.983","0.257","1.243","0.342","1.59","0.264","1.858","0.24","2.103","0.269","2.377","0.308","2.693","0.214","2.913","0.198","0.198","0.176","0.375","0.224","0.6","0.316","0.918","0.257","1.177","0.213","1.392","0.228","1.624","0.321","1.95","0.325","2.281","0.354","2.643","0.447","3.102","0.399","3.514"
"102","","","효성동","0.04","1.458","0.076","0.076","0.314","0.39","0.265","0.656","0.142","0.799","0.311","1.113","0.204","1.318","0.253","1.574","0.275","1.853","0.206","2.063","0.016","2.079","0.252","2.336","0.152","2.492","0.708","0.708","0.203","0.913","0.332","1.247","0.357","1.609","0.223","1.836","0.106","1.944","0.265","2.214","0.396","2.619","0.284","2.91","0.435","3.358","0.534","3.91","0.384","4.309"
"103","","","계산동","0.194","2.406","0.088","0.088","0.179","0.267","0.34","0.609","0.106","0.716","0.331","1.049","0.326","1.378","0.354","1.738","0.283","2.025","0.199","2.228","0.372","2.608","0.39","3.008","0.551","3.576","0.055","0.055","0.253","0.308","0.228","0.537","0.473","1.012","0.28","1.295","0.317","1.616","0.193","1.812","0.35","2.168","0.42","2.597","0.463","3.072","0.416","3.501","0.3","3.811"
"104","","","작전동","0.034","1.021","0.102","0.102","0.378","0.481","0.21","0.692","0.055","0.747","0.709","1.462","0.391","1.858","0.456","2.323","0.476","2.81","0.245","3.062","0.531","3.609","0.353","3.975","0.162","4.143","0.165","0.165","0.195","0.361","0.269","0.631","0.215","0.847","0.214","1.063","0.32","1.386","0.144","1.532","0.247","1.783","0.356","2.144","0.388","2.541","0.368","2.918","0.193","3.117"
"105","","","서운동","0.006","1.308","0.128","0.128","0.126","0.254","0.222","0.477","0.254","0.732","0.407","1.142","0.454","1.601","0.528","2.137","0.273","2.416","0.207","2.628","0.027","2.656","0.385","3.051","-0.161","2.885","0.221","0.221","0.04","0.26","0.182","0.443","0.495","0.941","0.103","1.045","0.152","1.198","0.172","1.372","0.176","1.551","0.402","1.959","0.163","2.126","0.558","2.695","0.353","3.058"
"106","","","임학동","0.049","1.461","0.179","0.179","0.069","0.248","0.178","0.427","0.1","0.527","0.228","0.756","0.205","0.963","0.171","1.135","0.161","1.298","0.341","1.644","0.169","1.816","0.295","2.117","0.023","2.141","0.093","0.093","0.133","0.226","0.141","0.367","0.186","0.554","0.286","0.842","0.196","1.039","0.12","1.161","0.276","1.439","0.18","1.622","0.349","1.977","0.422","2.407","0.475","2.894"
"107","","","용종동","0.049","1.461","0.179","0.179","0.069","0.248","0.178","0.427","0.1","0.527","0.228","0.756","0.205","0.963","0.171","1.135","0.161","1.298","0.341","1.644","0.169","1.816","0.295","2.117","0.023","2.141","0.093","0.093","0.133","0.226","0.141","0.367","0.186","0.554","0.286","0.842","0.196","1.039","0.12","1.161","0.276","1.439","0.18","1.622","0.349","1.977","0.422","2.407","0.475","2.894"
"108","","","병방동","0.049","1.461","0.179","0.179","0.069","0.248","0.178","0.427","0.1","0.527","0.228","0.756","0.205","0.963","0.171","1.135","0.161","1.298","0.341","1.644","0.169","1.816","0.295","2.117","0.023","2.141","0.093","0.093","0.133","0.226","0.141","0.367","0.186","0.554","0.286","0.842","0.196","1.039","0.12","1.161","0.276","1.439","0.18","1.622","0.349","1.977","0.422","2.407","0.475","2.894"
"109","","","방축동","0.049","1.461","0.179","0.179","0.069","0.248","0.178","0.427","0.1","0.527","0.228","0.756","0.205","0.963","0.171","1.135","0.161","1.298","0.341","1.644","0.169","1.816","0.295","2.117","0.023","2.141","0.093","0.093","0.133","0.226","0.141","0.367","0.186","0.554","0.286","0.842","0.196","1.039","0.12","1.161","0.276","1.439","0.18","1.622","0.349","1.977","0.422","2.407","0.475","2.894"
"110","","","박촌동","0.047","0.696","0.081","0.081","0.077","0.158","0.122","0.28","0.06","0.34","0.292","0.633","0.113","0.747","0.517","1.267","0.103","1.371","0.299","1.674","0.33","2.01","0.173","2.187","0.305","2.499","0.085","0.085","0.154","0.239","0.14","0.379","0.274","0.654","0.343","1","0.172","1.173","0.404","1.582","0.487","2.076","0.242","2.323","0.262","2.591","0.435","3.038","0.806","3.868"
"111","","","동양동","0.047","0.696","0.081","0.081","0.077","0.158","0.122","0.28","0.06","0.34","0.292","0.633","0.113","0.747","0.517","1.267","0.103","1.371","0.299","1.674","0.33","2.01","0.173","2.187","0.305","2.499","0.085","0.085","0.154","0.239","0.14","0.379","0.274","0.654","0.343","1","0.172","1.173","0.404","1.582","0.487","2.076","0.242","2.323","0.262","2.591","0.435","3.038","0.806","3.868"
"112","","","귤현동","0.047","0.696","0.081","0.081","0.077","0.158","0.122","0.28","0.06","0.34","0.292","0.633","0.113","0.747","0.517","1.267","0.103","1.371","0.299","1.674","0.33","2.01","0.173","2.187","0.305","2.499","0.085","0.085","0.154","0.239","0.14","0.379","0.274","0.654","0.343","1","0.172","1.173","0.404","1.582","0.487","2.076","0.242","2.323","0.262","2.591","0.435","3.038","0.806","3.868"
"113","","","상야동","0.066","1.353","0.138","0.138","0.051","0.189","0.117","0.306","0.02","0.326","0.288","0.615","0.102","0.718","0","0.718","0.089","0.807","0.041","0.848","0.19","1.04","0.331","1.375","0.091","1.467","0.043","0.043","0.033","0.077","0.148","0.225","0.178","0.403","0.316","0.72","0.118","0.839","0.348","1.19","0.179","1.371","0.286","1.661","0.221","1.885","0.445","2.338","0.315","2.66"
"114","","","하야동","0.066","1.353","0.138","0.138","0.051","0.189","0.117","0.306","0.02","0.326","0.288","0.615","0.102","0.718","0","0.718","0.089","0.807","0.041","0.848","0.19","1.04","0.331","1.375","0.091","1.467","0.043","0.043","0.033","0.077","0.148","0.225","0.178","0.403","0.316","0.72","0.118","0.839","0.348","1.19","0.179","1.371","0.286","1.661","0.221","1.885","0.445","2.338","0.315","2.66"
"115","","","평동","0.066","1.353","0.138","0.138","0.051","0.189","0.117","0.306","0.02","0.326","0.288","0.615","0.102","0.718","0","0.718","0.089","0.807","0.041","0.848","0.19","1.04","0.331","1.375","0.091","1.467","0.043","0.043","0.033","0.077","0.148","0.225","0.178","0.403","0.316","0.72","0.118","0.839","0.348","1.19","0.179","1.371","0.286","1.661","0.221","1.885","0.445","2.338","0.315","2.66"
"116","","","노오지동","0.066","1.353","0.138","0.138","0.051","0.189","0.117","0.306","0.02","0.326","0.288","0.615","0.102","0.718","0","0.718","0.089","0.807","0.041","0.848","0.19","1.04","0.331","1.375","0.091","1.467","0.043","0.043","0.033","0.077","0.148","0.225","0.178","0.403","0.316","0.72","0.118","0.839","0.348","1.19","0.179","1.371","0.286","1.661","0.221","1.885","0.445","2.338","0.315","2.66"
"117","","","선주지동","0.031","0.562","0.088","0.088","0.018","0.106","0.191","0.297","0.068","0.365","0.228","0.594","0.084","0.679","0.105","0.785","0.228","1.015","0.321","1.339","0.06","1.4","0.346","1.75","0.052","1.803","0.003","0.003","0.159","0.162","0.103","0.265","0.225","0.491","0.336","0.829","0.245","1.076","0.26","1.339","0.056","1.396","0.524","1.928","0.101","2.031","0.382","2.421","0.431","2.862"
"118","","","이화동","0.031","0.562","0.088","0.088","0.018","0.106","0.191","0.297","0.068","0.365","0.228","0.594","0.084","0.679","0.105","0.785","0.228","1.015","0.321","1.339","0.06","1.4","0.346","1.75","0.052","1.803","0.003","0.003","0.159","0.162","0.103","0.265","0.225","0.491","0.336","0.829","0.245","1.076","0.26","1.339","0.056","1.396","0.524","1.928","0.101","2.031","0.382","2.421","0.431","2.862"
"119","","","오류동","0.031","0.562","0.088","0.088","0.018","0.106","0.191","0.297","0.068","0.365","0.228","0.594","0.084","0.679","0.105","0.785","0.228","1.015","0.321","1.339","0.06","1.4","0.346","1.75","0.052","1.803","0.003","0.003","0.159","0.162","0.103","0.265","0.225","0.491","0.336","0.829","0.245","1.076","0.26","1.339","0.056","1.396","0.524","1.928","0.101","2.031","0.382","2.421","0.431","2.862"
"120","","","갈현동","0.031","0.562","0.088","0.088","0.018","0.106","0.191","0.297","0.068","0.365","0.228","0.594","0.084","0.679","0.105","0.785","0.228","1.015","0.321","1.339","0.06","1.4","0.346","1.75","0.052","1.803","0.003","0.003","0.159","0.162","0.103","0.265","0.225","0.491","0.336","0.829","0.245","1.076","0.26","1.339","0.056","1.396","0.524","1.928","0.101","2.031","0.382","2.421","0.431","2.862"
"121","","","둑실동","0.059","0.928","0.003","0.003","0.091","0.094","0.132","0.226","0.024","0.25","0.164","0.415","0.092","0.507","0.009","0.516","0.216","0.733","0.173","0.906","0.428","1.338","0.253","1.595","0.013","1.608","0.118","0.118","0.01","0.128","0.074","0.202","0.219","0.421","0.125","0.547","0.286","0.834","0.105","0.94","0.209","1.151","0.355","1.51","0.138","1.649","0.467","2.125","0.363","2.495"
"122","","","목상동","0.059","0.928","0.003","0.003","0.091","0.094","0.132","0.226","0.024","0.25","0.164","0.415","0.092","0.507","0.009","0.516","0.216","0.733","0.173","0.906","0.428","1.338","0.253","1.595","0.013","1.608","0.118","0.118","0.01","0.128","0.074","0.202","0.219","0.421","0.125","0.547","0.286","0.834","0.105","0.94","0.209","1.151","0.355","1.51","0.138","1.649","0.467","2.125","0.363","2.495"
"123","","","다남동","0.003","0.872","0.043","0.043","0.015","0.058","0.157","0.215","0","0.215","0.276","0.492","0.114","0.607","0.342","0.951","0.253","1.206","0.159","1.367","0.019","1.386","0.162","1.55","0.08","1.631","0.029","0.029","0.052","0.081","0.19","0.271","0.026","0.296","0.284","0.581","0.1","0.681","0.115","0.797","0.141","0.939","0.214","1.155","0.316","1.475","0.422","1.903","0.381","2.292"
"124","","","장기동","0.047","0.696","0.081","0.081","0.077","0.158","0.122","0.28","0.06","0.34","0.292","0.633","0.113","0.747","0.517","1.267","0.103","1.371","0.299","1.674","0.33","2.01","0.173","2.187","0.305","2.499","0.085","0.085","0.154","0.239","0.14","0.379","0.274","0.654","0.343","1","0.172","1.173","0.404","1.582","0.487","2.076","0.242","2.323","0.262","2.591","0.435","3.038","0.806","3.868"
"125","","서구","","0.076","2.071","0.14","0.14","0.286","0.427","0.251","0.678","0.155","0.834","0.306","1.143","0.32","1.467","0.352","1.824","0.267","2.095","0.348","2.451","0.377","2.838","0.244","3.089","0.245","3.341","0.261","0.261","0.231","0.493","0.303","0.798","0.294","1.095","0.319","1.417","0.36","1.782","0.265","2.052","0.205","2.261","0.46","2.731","0.453","3.196","0.418","3.627","0.21","3.845"
"126","","","백석동","0.021","3.029","0.065","0.065","0.288","0.353","0.037","0.39","0.191","0.582","0.316","0.9","0.262","1.164","0.147","1.313","1.629","2.963","-0.073","2.888","0.405","3.305","0.21","3.522","0.191","3.72","0.217","0.217","0.154","0.371","0.291","0.663","0.33","0.996","0.178","1.176","0.4","1.581","0.753","2.345","0.583","2.942","1.117","4.092","1.996","6.169","0.317","6.506","0.089","6.6"
"127","","","시천동","0.021","3.029","0.065","0.065","0.288","0.353","0.037","0.39","0.191","0.582","0.316","0.9","0.262","1.164","0.147","1.313","1.629","2.963","-0.073","2.888","0.405","3.305","0.21","3.522","0.191","3.72","0.217","0.217","0.154","0.371","0.291","0.663","0.33","0.996","0.178","1.176","0.4","1.581","0.753","2.345","0.583","2.942","1.117","4.092","1.996","6.169","0.317","6.506","0.089","6.6"
"128","","","검암동","0.021","3.029","0.065","0.065","0.288","0.353","0.037","0.39","0.191","0.582","0.316","0.9","0.262","1.164","0.147","1.313","1.629","2.963","-0.073","2.888","0.405","3.305","0.21","3.522","0.191","3.72","0.217","0.217","0.154","0.371","0.291","0.663","0.33","0.996","0.178","1.176","0.4","1.581","0.753","2.345","0.583","2.942","1.117","4.092","1.996","6.169","0.317","6.506","0.089","6.6"
"129","","","경서동","0.076","2.439","0.151","0.151","0.381","0.533","0.302","0.836","0.098","0.935","0.271","1.209","0.096","1.306","0.375","1.686","0.268","1.959","0.42","2.387","0.141","2.531","0.174","2.71","0.246","2.963","0.252","0.252","0.255","0.508","0.346","0.855","0.294","1.152","0.387","1.543","0.409","1.958","0.305","2.269","0.05","2.32","0.264","2.59","0.317","2.915","0.984","3.928","0.219","4.155"
"130","","","공촌동","0.244","3.109","0.097","0.097","0.478","0.576","0.285","0.862","0.064","0.927","0.187","1.115","0.26","1.379","1.462","2.861","0.191","3.058","0.527","3.6","0.222","3.831","0.404","4.251","0.24","4.501","0.127","0.127","0.3","0.428","0.252","0.681","0.154","0.835","0.42","1.259","0.298","1.561","0.672","2.243","0","2.243","0.024","2.268","0.025","2.294","0.251","2.551","0.313","2.871"
"131","","","연희동","0.244","3.109","0.097","0.097","0.478","0.576","0.285","0.862","0.064","0.927","0.187","1.115","0.26","1.379","1.462","2.861","0.191","3.058","0.527","3.6","0.222","3.831","0.404","4.251","0.24","4.501","0.127","0.127","0.3","0.428","0.252","0.681","0.154","0.835","0.42","1.259","0.298","1.561","0.672","2.243","0","2.243","0.024","2.268","0.025","2.294","0.251","2.551","0.313","2.871"
"132","","","심곡동","0.244","3.109","0.097","0.097","0.478","0.576","0.285","0.862","0.064","0.927","0.187","1.115","0.26","1.379","1.462","2.861","0.191","3.058","0.527","3.6","0.222","3.831","0.404","4.251","0.24","4.501","0.127","0.127","0.3","0.428","0.252","0.681","0.154","0.835","0.42","1.259","0.298","1.561","0.672","2.243","0","2.243","0.024","2.268","0.025","2.294","0.251","2.551","0.313","2.871"
"133","","","가정동","0.112","3.319","0.107","0.107","0.138","0.245","0.167","0.413","0.228","0.641","0.477","1.122","0.058","1.181","0.773","1.963","0.373","2.343","0.475","2.83","0.28","3.118","0.057","3.176","0.382","3.571","0.193","0.193","0.247","0.441","0.36","0.802","0.292","1.097","0.183","1.282","0.434","1.722","0.396","2.125","0.233","2.363","0.458","2.832","0.939","3.797","0.132","3.934","0.544","4.499"
"134","","","신현동","0.042","1.32","0.098","0.098","0.171","0.269","0.202","0.472","0.098","0.571","0.302","0.875","0.44","1.318","-0.018","1.3","-0.093","1.206","0.154","1.362","0.65","2.021","0.341","2.369","0.221","2.595","0.15","0.15","0.143","0.293","0.309","0.603","0.281","0.886","0.372","1.261","0.254","1.518","0","1.518","0.275","1.798","0.5","2.306","0","2.306","0.195","2.506","0.18","2.69"
"135","","","석남동","0.041","1.47","0.085","0.085","0.274","0.359","0.159","0.519","0.071","0.59","0.164","0.755","0.793","1.553","0.415","1.975","0.151","2.129","0.605","2.747","0.344","3.101","0.401","3.515","0.161","3.681","0.32","0.32","0.234","0.555","0.398","0.955","0.291","1.249","0.465","1.72","0.37","2.096","0.128","2.227","0.744","2.988","1.135","4.156","0.648","4.831","1.224","6.114","0.299","6.431"
"136","","","원창동","0.042","1.32","0.098","0.098","0.171","0.269","0.202","0.472","0.098","0.571","0.302","0.875","0.44","1.318","-0.018","1.3","-0.093","1.206","0.154","1.362","0.65","2.021","0.341","2.369","0.221","2.595","0.15","0.15","0.143","0.293","0.309","0.603","0.281","0.886","0.372","1.261","0.254","1.518","0","1.518","0.275","1.798","0.5","2.306","0","2.306","0.195","2.506","0.18","2.69"
"137","","","가좌동","0.048","1.387","0.068","0.068","0.119","0.187","0.459","0.647","0.341","0.99","0.159","1.15","0.394","1.549","0.367","1.922","0.543","2.476","0.812","3.307","0.837","4.172","0.187","4.367","0.32","4.701","0.364","0.364","0.191","0.556","0.14","0.696","0.323","1.021","0.146","1.169","0.544","1.719","0.347","2.073","0.169","2.245","0.855","3.12","0.635","3.775","0.178","3.96","0.194","4.161"
"138","","","마전동","0.042","1.936","0.281","0.281","0.563","0.846","0.242","1.09","0.184","1.275","0.466","1.747","0.424","2.179","0.032","2.212","0.157","2.373","-0.02","2.353","0.221","2.579","0.169","2.752","0.298","3.058","0.339","0.339","0.191","0.532","0.338","0.871","0.488","1.364","0.425","1.794","0.159","1.956","0.003","1.959","0.16","2.122","0.606","2.741","0.461","3.214","0.014","3.229","0.082","3.313"
"139","","","당하동","0.042","1.936","0.281","0.281","0.563","0.846","0.242","1.09","0.184","1.275","0.466","1.747","0.424","2.179","0.032","2.212","0.157","2.373","-0.02","2.353","0.221","2.579","0.169","2.752","0.298","3.058","0.339","0.339","0.191","0.532","0.338","0.871","0.488","1.364","0.425","1.794","0.159","1.956","0.003","1.959","0.16","2.122","0.606","2.741","0.461","3.214","0.014","3.229","0.082","3.313"
"140","","","원당동","0.104","2.268","0.067","0.067","0.174","0.241","0.127","0.368","0.299","0.667","0.118","0.786","0.628","1.42","0.094","1.514","-0.045","1.468","0.293","1.766","0.344","2.116","0.093","2.211","0.196","2.411","0.436","0.436","0.256","0.694","0.283","0.978","0.096","1.075","0.162","1.239","0.563","1.808","0","1.808","0.221","2.034","0","2.034","0.759","2.808","0","2.808","0.149","2.961"
"141","","","대곡동","0.055","1.827","0.343","0.343","0.333","0.677","0.324","1.002","0.037","1.039","0.007","1.046","0.518","1.57","0.211","1.784","0.103","1.889","0.258","2.152","0.443","2.605","0.108","2.716","0.234","2.955","0.253","0.253","0.323","0.578","0.354","0.934","0.324","1.261","0.26","1.524","0.3","1.829","0.29","2.124","0.074","2.2","0.094","2.296","0.183","2.483","0.159","2.646","0.185","2.837"
"142","","","금곡동","0.055","1.827","0.343","0.343","0.333","0.677","0.324","1.002","0.037","1.039","0.007","1.046","0.518","1.57","0.211","1.784","0.103","1.889","0.258","2.152","0.443","2.605","0.108","2.716","0.234","2.955","0.253","0.253","0.323","0.578","0.354","0.934","0.324","1.261","0.26","1.524","0.3","1.829","0.29","2.124","0.074","2.2","0.094","2.296","0.183","2.483","0.159","2.646","0.185","2.837"
"143","","","오류동","0.078","1.943","0.222","0.222","0.14","0.362","0.13","0.493","0.151","0.644","0.744","1.393","0.142","1.537","0.346","1.889","0.172","2.063","0.217","2.285","0.344","2.637","0.396","3.044","0.197","3.246","0.28","0.28","0.309","0.589","0.314","0.905","0.291","1.198","0.276","1.478","0.251","1.732","0.293","2.03","0.17","2.204","0.096","2.301","0.114","2.418","0.253","2.677","0.216","2.899"
