읍면동,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스,,metro,culture,shop
효성동,105.78,340,240,234,26,0,199,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,165.29,340,100,194,26,0,148,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.03,374,36,243,26.01,0,200,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09,374,266,234,26.01,0,183,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,92.56,374,72,232,26.01,0,178,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.03A,919,375,270,23,0,227,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09A,919,394,266,23,0,217,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09C,919,25,252,23,0,206,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.03C,919,25,243,23,0,206,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,175.2,919,100,200,23,0,137,4.99,2,36,0,,0,0.400801603,7.214428858
계양동,80.09,376,85,309,7,3,234,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,113.69A,376,133,286,7,3,194,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,114.01B,376,103,285,7,3,193,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,159.95,376,55,259,7,3,156,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,69.42,480,204,191,27.08,3,145,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,79.33,480,36,189,27.08,3,140,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,72.72,480,240,182,27.08,3,134,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,82.33,207,16,310,13.01,3,267,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,106.44,207,191,263,13.01,3,235,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,82.64,670,140,321,13.01,3,284,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,105.78,670,530,293,13.01,3,251,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,113.22,138,86,265,9.02,3,208,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,116.56,138,12,257,9.02,3,202,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,137.37B,138,39,258,9.02,3,178,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,138.31A,138,1,257,9.02,3,177,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,76.03,"1,192",536,260,21.09,3,217,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,105.78,"1,192",560,215,21.09,3,187,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
