구시군,읍면동,아파트명,입주년도,분양면적,총세대수,세대수,매매평균..당가.만원.,X3.3.당가.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스
계양구,효성동,중앙,1989.11,72.72,168,114,165,545.5,29.01,0,113,4.99,2,36,0
계양구,효성동,중앙,1989.11,79.33,168,6,164,541.7,29.01,0,110,4.99,2,36,0
계양구,효성동,중앙,1989.11,56.19,168,42,160,529.5,29.01,0,103,4.99,2,36,0
계양구,효성동,중앙,1989.11,62.81,168,6,159,526.3,29.01,0,98,4.99,2,36,0
계양구,효성동,중앙하이츠,1996.11,109.09,375,164,225,742.4,22.01,0,174,4.99,2,36,0
계양구,효성동,중앙하이츠,1996.11,79.33,375,194,224,739.7,22.01,0,164,4.99,2,36,0
계양구,효성동,중앙하이츠,1996.11,115.7,375,17,220,728.6,22.01,0,158,4.99,2,36,0
계양구,효성동,태산,1997.11,79.33,1178,524,243,802.2,21.01,0,183,4.99,2,36,0
계양구,효성동,태산,1997.11,109.09,1178,654,218,719.7,21.01,0,160,4.99,2,36,0
계양구,효성동,풍림,1997.1,79.33,342,130,287,948,21.02,0,249,4.99,2,36,0
계양구,효성동,풍림,1997.1,105.78,342,156,277,914.1,21.02,0,232,4.99,2,36,0
계양구,효성동,풍림,1997.1,142.14,342,40,241,796.6,21.02,0,201,4.99,2,36,0
계양구,효성동,풍림,1997.1,185.12,342,8,226,745.6,21.02,0,181,4.99,2,36,0
계양구,효성동,풍림,1997.1,135.53,342,6,220,725.7,21.02,0,173,4.99,2,36,0
계양구,효성동,풍림,1997.1,238.01,342,2,217,718.8,21.02,0,143,4.99,2,36,0
계양구,효성동,하나,1996.1,79.33,498,250,236,781.3,22.02,0,183,4.99,2,36,0
계양구,효성동,하나,1996.1,105.78,498,176,222,734.4,22.02,0,170,4.99,2,36,0
계양구,효성동,하나,1996.1,128.92,498,72,202,666.7,22.02,0,147,4.99,2,36,0
계양구,효성동,현대1차,1991.11,91,874,237,242,799.2,27.01,0,209,4.99,2,36,0
계양구,효성동,현대1차,1991.11,108.61,874,517,230,760.9,27.01,0,184,4.99,2,36,0
계양구,효성동,현대1차,1991.11,165.87,874,120,211,697.6,27.01,0,148,4.99,2,36,0
계양구,효성동,현대2차,1992.12,105.78,340,240,234,773.5,26,0,199,4.99,2,36,0
계양구,효성동,현대2차,1992.12,165.29,340,100,194,640,26,0,148,4.99,2,36,0
계양구,효성동,현대3차,1992.11,76.03,374,36,243,804.4,26.01,0,200,4.99,2,36,0
계양구,효성동,현대3차,1992.11,109.09,374,266,234,772.7,26.01,0,183,4.99,2,36,0
계양구,효성동,현대3차,1992.11,92.56,374,72,232,767.9,26.01,0,178,4.99,2,36,0
계양구,효성동,현대4차,1995.12,76.03,919,375,270,891.3,23,0,227,4.99,2,36,0
계양구,효성동,현대4차,1995.12,109.09,919,394,266,878.8,23,0,217,4.99,2,36,0
계양구,효성동,현대4차,1995.12,109.09,919,25,252,833.3,23,0,206,4.99,2,36,0
계양구,효성동,현대4차,1995.12,76.03,919,25,243,804.4,23,0,206,4.99,2,36,0
계양구,효성동,현대4차,1995.12,175.2,919,100,200,660.4,23,0,137,4.99,2,36,0
계양구,계양동,박촌역한양수자인,2011.12,80.09,376,85,309,1021.6,7,3,234,30.45,4,63,0
계양구,계양동,박촌역한양수자인,2011.12,113.69,376,133,286,945,7,3,194,30.45,4,63,0
계양구,계양동,박촌역한양수자인,2011.12,114.01,376,103,285,942.4,7,3,193,30.45,4,63,0
계양구,계양동,박촌역한양수자인,2011.12,159.95,376,55,259,857.7,7,3,156,30.45,4,63,0
계양구,계양동,아주,1991.04,69.42,480,204,191,631,27.08,3,145,30.45,4,63,0
계양구,계양동,아주,1991.04,79.33,480,36,189,625.1,27.08,3,140,30.45,4,63,0
계양구,계양동,아주,1991.04,72.72,480,240,182,602.3,27.08,3,134,30.45,4,63,0
계양구,계양동,풍림아이원,2005.11,82.33,207,16,310,1023.9,13.01,3,267,30.45,4,63,0
계양구,계양동,풍림아이원,2005.11,106.44,207,191,263,869.6,13.01,3,235,30.45,4,63,0
계양구,계양동,한화꿈에그린,2005.11,82.64,670,140,321,1060.1,13.01,3,284,30.45,4,63,0
계양구,계양동,한화꿈에그린,2005.11,105.78,670,530,293,968.8,13.01,3,251,30.45,4,63,0
계양구,계양동,계양벽산블루밍,2009.1,113.22,138,86,265,875.9,9.02,3,208,30.45,4,63,0
계양구,계양동,계양벽산블루밍,2009.1,116.56,138,12,257,850.8,9.02,3,202,30.45,4,63,0
계양구,계양동,계양벽산블루밍,2009.1,137.37,138,39,258,854.3,9.02,3,178,30.45,4,63,0
계양구,계양동,계양벽산블루밍,2009.1,138.31,138,1,257,848.5,9.02,3,177,30.45,4,63,0
계양구,계양동,신동아,1997.03,76.03,1192,536,260,858.7,21.09,3,217,30.45,4,63,0
계양구,계양동,신동아,1997.03,105.78,1192,560,215,711,21.09,3,187,30.45,4,63,0
계양구,계양동,신동아,1997.03,135.53,1192,96,199,658.6,21.09,3,155,30.45,4,63,0
계양구,계양동,동양우남푸르미아,2011.12,109.74,158,74,305,1009.2,7,3,241,30.45,4,63,0
계양구,계양동,동양우남푸르미아,2011.12,110.3,158,42,304,1004,7,3,240,30.45,4,63,0
계양구,계양동,동양우남푸르미아,2011.12,110.36,158,42,304,1003.5,7,3,240,30.45,4,63,0
계양구,계양동,동양지구휴먼빌,2007.1,110.64,466,317,276,911.3,11.02,3,235,30.45,4,63,0
계양구,계양동,동양지구휴먼빌,2007.1,142.86,466,149,252,833,11.02,3,206,30.45,4,63,0
계양구,계양동,한진해모로,2006.07,78.99,478,478,348,1150.9,12.05,3,269,30.45,4,63,0
계양구,작전서운동,경남아너스빌,2007.09,130.93,255,180,309,1022.6,11.03,0,225,3.79,4,23,0
계양구,작전서운동,경남아너스빌,2007.09,162.91,255,75,292,963.9,11.03,0,206,3.79,4,23,0
계양구,작전서운동,임광그대家,2009.1,112.62,355,92,329,1086.1,9.02,0,258,3.79,4,23,0
계양구,작전서운동,임광그대家,2009.1,112.79,355,45,328,1084.4,9.02,0,257,3.79,4,23,0
계양구,작전서운동,임광그대家,2009.1,112.79,355,26,328,1084.4,9.02,0,257,3.79,4,23,0
계양구,작전서운동,임광그대家,2009.1,144.84,355,97,283,935.8,9.02,0,221,3.79,4,23,0
계양구,작전서운동,임광그대家,2009.1,144.86,355,95,283,935.6,9.02,0,221,3.79,4,23,0
계양구,계산동,계산주공,1991.04,69.42,1140,270,299,988.1,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,1991.04,56.19,1140,270,289,956,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,1991.04,52.89,1140,1,288,953.2,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,1991.04,52.89,1140,60,288,953.2,27.08,2,245,4.55,5,91,1
계양구,계산동,계산주공,1991.04,52.89,1140,299,288,953.2,27.08,2,236,4.55,5,91,1
계양구,계산동,계산주공,1991.04,72.72,1140,180,285,943.3,27.08,2,234,4.55,5,91,1
계양구,계산동,계산주공,1991.04,59.5,1140,60,273,902.8,27.08,2,227,4.55,5,91,1
계양구,계산동,극동,1985.07,99.17,629,30,272,900,33.05,2,163,4.55,5,91,1
계양구,계산동,극동,1985.07,62.81,629,240,247,815.8,33.05,2,146,4.55,5,91,1
계양구,계산동,극동,1985.07,85.95,629,160,244,807.7,33.05,2,143,4.55,5,91,1
계양구,계산동,극동,1985.07,69.42,629,139,241,797.6,33.05,2,133,4.55,5,91,1
계양구,계산동,극동,1985.07,49.58,629,60,232,766.8,33.05,2,126,4.55,5,91,1
계양구,계산동,기산,1996.07,92.56,142,66,221,732.2,22.05,2,175,4.55,5,91,1
계양구,계산동,기산,1996.07,82.64,142,76,221,730,22.05,2,173,4.55,5,91,1
계양구,계산동,뉴서울,1993.12,79.33,92,23,227,750.1,25,2,186,4.55,5,91,1
계양구,계산동,뉴서울,1993.12,69.42,92,46,216,714.3,25,2,175,4.55,5,91,1
계양구,계산동,뉴서울,1993.12,95.86,92,23,203,672.5,25,2,166,4.55,5,91,1
계양구,계산동,동남(55-1),1990.07,56.19,336,84,213,703,28.05,2,160,4.55,5,91,1
계양구,계산동,동남(55-1),1990.07,79.33,336,60,208,687.6,28.05,2,158,4.55,5,91,1
계양구,계산동,동남(55-1),1990.07,72.72,336,48,203,670.5,28.05,2,151,4.55,5,91,1
계양구,계산동,동남(55-1),1990.07,69.42,336,144,202,666.7,28.05,2,144,4.55,5,91,1
계양구,계산동,"삼보1,2차",1987.1,72.72,474,36,220,727.3,31.02,2,120,4.55,5,91,1
계양구,계산동,"삼보1,2차",1987.1,56.19,474,360,218,720.7,31.02,2,167,4.55,5,91,1
계양구,계산동,"삼보1,2차",1987.1,62.81,474,72,215,710.5,31.02,2,160,4.55,5,91,1
계양구,계산동,삼보3차,1988.11,56.19,366,60,214,706,30.01,2,158,4.55,5,91,1
계양구,계산동,삼보3차,1988.11,66.11,366,180,212,700.1,30.01,2,143,4.55,5,91,1
계양구,계산동,삼보3차,1988.11,79.33,366,6,205,677.2,30.01,2,167,4.55,5,91,1
계양구,계산동,삼보3차,1988.11,76.03,366,120,204,673.9,30.01,2,166,4.55,5,91,1
계양구,계산동,삼천리,1986.06,66.11,460,30,234,775.1,32.06,2,164,4.55,5,91,1
계양구,계산동,삼천리,1986.06,62.81,460,100,231,763.2,32.06,2,160,4.55,5,91,1
