구시군,읍면동,아파트명,평균매매가 제곱미터당(만원),분양면적,단지세대수,개별세대수,노후도,역세권점수,전세평균제곱미터당(만원),토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,평균 인구수,평균 세대수,교육시설 수,개발호재유무,혼인건수3년평균
계양구,효성동,두산,220,138.84,957,96,21.09,0,109,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,181,59.5,350,50,34,0,214,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,40,34,0,214,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,20,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,10,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,100,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,100,34,0,173,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,179,62.81,350,20,34,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,169,69.42,350,10,34,0,91,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,미도,182,49.58,205,5,33.11,0,89,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,미도,164,76.03,205,70,33.11,0,88,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,백영,209,85.95,208,133,22.07,0,86,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,백영,202,89.25,208,75,22.07,0,154,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,194,82.64,135,15,34.01,0,148,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,190,89.25,135,40,34.01,0,111,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,189,92.56,135,5,34.01,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,186,85.95,135,25,34.01,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,183,95.86,135,5,34.01,0,92,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,176,79.33,135,40,34.01,0,91,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,176,99.17,135,5,34.01,0,89,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,새사미,172,72.72,280,140,33.11,0,87,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,새사미,159,62.81,280,140,33.11,0,112,4.99,2,36,0,62311,23066,10,0,132
