구시군,읍면동,아파트명,분양면적,단지세대수,개별세대수,평균매매가.제곱미터당.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,X3년.평균.인구수,X3년.평균.세대수,초중고현황,개발호재유무,혼인건수3년평균
계양구,효성동,삼보,99.17,135,5,176,34.01,0,89,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,새사미,72.72,280,140,172,33.11,0,87,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,새사미,62.81,280,140,159,33.11,0,112,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,서광,82.64,140,30,175,35.01,0,112,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,서광,76.03,140,110,164,35.01,0,85,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,성지,79.33,98,18,189,25.02,0,106,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,82.64,285,130,163,34,0,102,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,95.86,285,5,162,34,0,98,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,66.11,285,80,159,34,0,96,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신한,79.33,324,160,227,21.11,0,164,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신한,109.09,324,164,211,21.11,0,156,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,유승그린,82.64,279,279,218,22.01,0,188,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,유승와이드빌,85.74,350,350,227,16.04,0,181,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,72.72,168,114,165,29.01,0,113,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,79.33,168,6,164,29.01,0,110,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,56.19,168,42,160,29.01,0,103,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,62.81,168,6,159,29.01,0,98,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,109.09,375,164,225,22.01,0,174,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,79.33,375,194,224,22.01,0,164,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,115.7,375,17,220,22.01,0,158,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,태산,79.33,1178,524,243,21.01,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,태산,109.09,1178,654,218,21.01,0,160,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,79.33,342,130,287,21.02,0,249,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,105.78,342,156,277,21.02,0,232,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,142.14,342,40,241,21.02,0,201,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,185.12,342,8,226,21.02,0,181,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,135.53,342,6,220,21.02,0,173,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,238.01,342,2,217,21.02,0,143,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,79.33,498,250,236,22.02,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,105.78,498,176,222,22.02,0,170,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,128.92,498,72,202,22.02,0,147,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,91,874,237,242,27.01,0,209,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,108.61,874,517,230,27.01,0,184,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,165.87,874,120,211,27.01,0,148,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대2차,105.78,340,240,234,26,0,199,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대2차,165.29,340,100,194,26,0,148,4.99,2,36,0,62311,23066,10,0,132
