구시군,읍면동,아파트명,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),3.3㎡당가(만원),입주년도,노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스
강화군,강화읍,현대,105.78,219,137,142,468.8,1994.04,24.08,0,92,24.957,9,27,0
강화군,강화읍,현대,76.03,219,82,141,467.4,1994.04,24.08,0,76,24.957,9,27,0
계양구,계양동,삼우,66.11,95,90,166,550,1986.01,32.11,3,83,30.45,4,63,0
계양구,계양동,삼우,69.42,95,5,158,523.8,1986.01,32.11,3,79,30.45,4,63,0
계양구,계양동,용정,62.81,84,60,155,513.2,1988.12,30,3,92,30.45,4,63,0
계양구,계양동,용정,69.42,84,24,151,500,1988.12,30,3,83,30.45,4,63,0
계양구,계양동,유호,76.03,156,72,171,565.2,1990.09,28.03,3,122,30.45,4,63,0
계양구,계양동,유호,79.33,156,84,170,562.6,1990.09,28.03,3,117,30.45,4,63,0
계양구,계양동,윤성,59.5,60,60,122,402.8,1989.06,29.06,3,80,30.45,4,63,0
계양구,계양동,은영칠성,62.81,99,35,155,513.2,1988.12,30,3,92,30.45,4,63,0
계양구,계양동,은영칠성,66.11,99,40,147,487.5,1988.12,30,3,87,30.45,4,63,0
계양구,계양동,은영칠성,59.5,99,24,130,430.6,1988.12,30,3,80,30.45,4,63,0
계양구,계양동,인우,63.15,80,40,170,562.7,1984.08,34.04,3,107,30.45,4,63,0
계양구,계양동,한국,66.11,180,72,178,587.6,1989.04,29.08,3,132,30.45,4,63,0
계양구,계양동,한국,69.42,180,12,176,583.3,1989.04,29.08,3,126,30.45,4,63,0
계양구,계양동,한국,56.19,180,96,162,535.4,1989.04,29.08,3,107,30.45,4,63,0
계양구,계양동,한일,62.81,96,36,155,513.2,1989.05,29.07,3,92,30.45,4,63,0
계양구,계양동,한일,56.19,96,36,138,456,1989.05,29.07,3,85,30.45,4,63,0
계양구,효성동,경남1차,72.72,320,20,227,750.1,1987.07,31.05,0,144,4.99,2,36,0
계양구,효성동,경남1차,62.81,320,300,227,750,1987.07,31.05,0,135,4.99,2,36,0
계양구,효성동,경남2차,62.81,156,108,215,710.5,1990.05,28.07,0,131,4.99,2,36,0
계양구,효성동,경남2차,72.72,156,48,213,704.6,1990.05,28.07,0,123,4.99,2,36,0
계양구,효성동,금호어울림,76.21,410,147,302,997.7,2005.08,13.04,0,256,4.99,2,36,0
계양구,효성동,금호어울림,99.97,410,14,273,901.1,2005.08,13.04,0,235,4.99,2,36,0
계양구,효성동,금호어울림,108.31,410,183,259,854.6,2005.08,13.04,0,217,4.99,2,36,0
계양구,효성동,금호어울림,148.76,410,6,229,755.6,2005.08,13.04,0,178,4.99,2,36,0
계양구,효성동,금호어울림,161.67,410,60,216,715.7,2005.08,13.04,0,161,4.99,2,36,0
계양구,효성동,뉴서울1차,69.42,460,70,166,547.6,1985.07,33.05,0,113,4.99,2,36,0
계양구,효성동,뉴서울2차,62.81,775,5,171,565.8,1986.12,32,0,111,4.99,2,36,0
계양구,효성동,뉴서울2차,56.19,775,190,166,547.1,1986.12,32,0,108,4.99,2,36,0
계양구,효성동,뉴서울2차,66.11,775,50,163,537.5,1986.12,32,0,107,4.99,2,36,0
계양구,효성동,뉴서울3차,99.17,542,22,222,733.4,1993.08,25.04,0,101,4.99,2,36,0
계양구,효성동,뉴서울3차,102.66B,542,432,180,595.7,1993.08,25.04,0,111,4.99,2,36,0
계양구,효성동,뉴서울3차,102.66A,542,88,180,595.7,1993.08,25.04,0,106,4.99,2,36,0
계양구,효성동,뉴서울5차,79.33,648,260,255,843.8,1994.12,24,0,93,4.99,2,36,0
계양구,효성동,뉴서울5차,109.09,648,388,220,727.3,1994.12,24,0,86,4.99,2,36,0
계양구,효성동,뉴서울6차,79.33,370,224,246,812.6,1995.06,23.06,0,187,4.99,2,36,0
계양구,효성동,뉴서울6차,105.78,370,126,225,742.2,1995.06,23.06,0,151,4.99,2,36,0
계양구,효성동,뉴서울6차,99.17,370,20,217,716.7,1995.06,23.06,0,151,4.99,2,36,0
계양구,효성동,대림,79.33,298,125,265,875.1,1999.08,19.04,0,217,4.99,2,36,0
계양구,효성동,대림,105.78,298,137,251,828.2,1999.08,19.04,0,183,4.99,2,36,0
계양구,효성동,대림,109.09,298,36,243,803,1999.08,19.04,0,202,4.99,2,36,0
계양구,효성동,대산,85.95,131,33,215,711.5,2003.03,15.09,0,182,4.99,2,36,0
계양구,효성동,대산,76.03,131,47,204,673.9,2003.03,15.09,0,175,4.99,2,36,0
계양구,효성동,대산,112.39,131,35,200,661.8,2003.03,15.09,0,221,4.99,2,36,0
계양구,효성동,대산,79.33,131,16,195,645.9,2003.03,15.09,0,194,4.99,2,36,0
계양구,효성동,대신,62.81,120,18,167,552.6,1989.06,29.06,0,188,4.99,2,36,0
계양구,효성동,동서,62.81,50,50,167,552.6,1981.1,37.02,0,129,4.99,2,36,0
계양구,효성동,동아,59.5,270,145,189,625,1986.05,32.07,0,125,4.99,2,36,0
계양구,효성동,동아,72.72,270,125,172,568.2,1986.05,32.07,0,122,4.99,2,36,0
계양구,효성동,두산,79.33A,957,390,265,875.1,1997.03,21.09,0,120,4.99,2,36,0
계양구,효성동,두산,79.33B,957,15,265,875.1,1997.03,21.09,0,90,4.99,2,36,0
계양구,효성동,두산,109.09C,957,16,236,780.3,1997.03,21.09,0,86,4.99,2,36,0
계양구,효성동,두산,109.09A,957,406,236,780.3,1997.03,21.09,0,84,4.99,2,36,0
계양구,효성동,두산,109.09B,957,34,236,780.3,1997.03,21.09,0,120,4.99,2,36,0
계양구,효성동,두산,138.84,957,96,220,726.2,1997.03,21.09,0,109,4.99,2,36,0
계양구,효성동,롯데,59.5,350,50,181,597.3,1984.12,34,0,214,4.99,2,36,0
계양구,효성동,롯데,62.81C,350,40,179,592.1,1984.12,34,0,214,4.99,2,36,0
계양구,효성동,롯데,62.81E,350,20,179,592.1,1984.12,34,0,193,4.99,2,36,0
계양구,효성동,롯데,62.81B,350,10,179,592.1,1984.12,34,0,193,4.99,2,36,0
계양구,효성동,롯데,62.81,350,100,179,592.1,1984.12,34,0,193,4.99,2,36,0
계양구,효성동,롯데,62.81D,350,100,179,592.1,1984.12,34,0,173,4.99,2,36,0
계양구,효성동,롯데,62.81A,350,20,179,592.1,1984.12,34,0,95,4.99,2,36,0
계양구,효성동,롯데,69.42,350,10,169,559.5,1984.12,34,0,91,4.99,2,36,0
계양구,효성동,미도,49.58,205,5,182,600.1,1985.01,33.11,0,89,4.99,2,36,0
계양구,효성동,미도,76.03,205,70,164,543.5,1985.01,33.11,0,88,4.99,2,36,0
계양구,효성동,백영,85.95,208,133,209,692.3,1996.05,22.07,0,86,4.99,2,36,0
계양구,효성동,백영,89.25,208,75,202,666.7,1996.05,22.07,0,154,4.99,2,36,0
계양구,효성동,삼보,82.64,135,15,194,640,1984.11,34.01,0,148,4.99,2,36,0
계양구,효성동,삼보,89.25,135,40,190,629.7,1984.11,34.01,0,111,4.99,2,36,0
계양구,효성동,삼보,92.56,135,5,189,625,1984.11,34.01,0,95,4.99,2,36,0
계양구,효성동,삼보,85.95,135,25,186,615.4,1984.11,34.01,0,95,4.99,2,36,0
계양구,효성동,삼보,95.86,135,5,183,603.5,1984.11,34.01,0,92,4.99,2,36,0
계양구,효성동,삼보,79.33,135,40,176,583.4,1984.11,34.01,0,91,4.99,2,36,0
계양구,효성동,삼보,99.17,135,5,176,583.4,1984.11,34.01,0,89,4.99,2,36,0
계양구,효성동,새사미,72.72,280,140,172,568.2,1985.01,33.11,0,87,4.99,2,36,0
계양구,효성동,새사미,62.81,280,140,159,526.3,1985.01,33.11,0,112,4.99,2,36,0
계양구,효성동,서광,82.64,140,30,175,580,1983.11,35.01,0,112,4.99,2,36,0
계양구,효성동,서광,76.03,140,110,164,543.5,1983.11,35.01,0,85,4.99,2,36,0
계양구,효성동,성지,79.33,98,18,189,625.1,1993.1,25.02,0,106,4.99,2,36,0
계양구,효성동,신진,82.64,285,130,163,540,1984.12,34,0,102,4.99,2,36,0
계양구,효성동,신진,95.86,285,5,162,534.5,1984.12,34,0,98,4.99,2,36,0
계양구,효성동,신진,66.11,285,80,159,525,1984.12,34,0,96,4.99,2,36,0
계양구,효성동,신한,79.33,324,160,227,750.1,1997.01,21.11,0,164,4.99,2,36,0
계양구,효성동,신한,109.09,324,164,211,697,1997.01,21.11,0,156,4.99,2,36,0
계양구,효성동,유승그린,82.64,279,279,218,720,1996.11,22.01,0,188,4.99,2,36,0
계양구,효성동,유승와이드빌,85.74,350,350,227,751.8,2002.08,16.04,0,181,4.99,2,36,0
계양구,효성동,중앙,72.72,168,114,165,545.5,1989.11,29.01,0,113,4.99,2,36,0
계양구,효성동,중앙,79.33,168,6,164,541.7,1989.11,29.01,0,110,4.99,2,36,0
계양구,효성동,중앙,56.19,168,42,160,529.5,1989.11,29.01,0,103,4.99,2,36,0
계양구,효성동,중앙,62.81,168,6,159,526.3,1989.11,29.01,0,98,4.99,2,36,0
계양구,효성동,중앙하이츠,109.09,375,164,225,742.4,1996.11,22.01,0,174,4.99,2,36,0
계양구,효성동,중앙하이츠,79.33,375,194,224,739.7,1996.11,22.01,0,164,4.99,2,36,0
계양구,효성동,중앙하이츠,115.7,375,17,220,728.6,1996.11,22.01,0,158,4.99,2,36,0
계양구,효성동,태산,79.33,"1,178",524,243,802.2,1997.11,21.01,0,183,4.99,2,36,0
계양구,효성동,태산,109.09,"1,178",654,218,719.7,1997.11,21.01,0,160,4.99,2,36,0
계양구,효성동,풍림,79.33,342,130,287,948,1997.1,21.02,0,249,4.99,2,36,0
계양구,효성동,풍림,105.78,342,156,277,914.1,1997.1,21.02,0,232,4.99,2,36,0
계양구,효성동,풍림,142.14,342,40,241,796.6,1997.1,21.02,0,201,4.99,2,36,0
계양구,효성동,풍림,185.12,342,8,226,745.6,1997.1,21.02,0,181,4.99,2,36,0
계양구,효성동,풍림,135.53,342,6,220,725.7,1997.1,21.02,0,173,4.99,2,36,0
계양구,효성동,풍림,238.01,342,2,217,718.8,1997.1,21.02,0,143,4.99,2,36,0
계양구,효성동,하나,79.33,498,250,236,781.3,1996.1,22.02,0,183,4.99,2,36,0
계양구,효성동,하나,105.78,498,176,222,734.4,1996.1,22.02,0,170,4.99,2,36,0
계양구,효성동,하나,128.92,498,72,202,666.7,1996.1,22.02,0,147,4.99,2,36,0
계양구,효성동,현대1차,91,874,237,242,799.2,1991.11,27.01,0,209,4.99,2,36,0
계양구,효성동,현대1차,108.61,874,517,230,760.9,1991.11,27.01,0,184,4.99,2,36,0
계양구,효성동,현대1차,165.87,874,120,211,697.6,1991.11,27.01,0,148,4.99,2,36,0
계양구,효성동,현대2차,105.78,340,240,234,773.5,1992.12,26,0,199,4.99,2,36,0
계양구,효성동,현대2차,165.29,340,100,194,640,1992.12,26,0,148,4.99,2,36,0
계양구,효성동,현대3차,76.03,374,36,243,804.4,1992.11,26.01,0,200,4.99,2,36,0
계양구,효성동,현대3차,109.09,374,266,234,772.7,1992.11,26.01,0,183,4.99,2,36,0
계양구,효성동,현대3차,92.56,374,72,232,767.9,1992.11,26.01,0,178,4.99,2,36,0
계양구,효성동,현대4차,76.03A,919,375,270,891.3,1995.12,23,0,227,4.99,2,36,0
계양구,효성동,현대4차,109.09A,919,394,266,878.8,1995.12,23,0,217,4.99,2,36,0
계양구,효성동,현대4차,109.09C,919,25,252,833.3,1995.12,23,0,206,4.99,2,36,0
계양구,효성동,현대4차,76.03C,919,25,243,804.4,1995.12,23,0,206,4.99,2,36,0
계양구,효성동,현대4차,175.2,919,100,200,660.4,1995.12,23,0,137,4.99,2,36,0
계양구,계양동,박촌역한양수자인,80.09,376,85,309,"1,021.60",2011.12,7,3,234,30.45,4,63,0
계양구,계양동,박촌역한양수자인,113.69A,376,133,286,945,2011.12,7,3,194,30.45,4,63,0
계양구,계양동,박촌역한양수자인,114.01B,376,103,285,942.4,2011.12,7,3,193,30.45,4,63,0
계양구,계양동,박촌역한양수자인,159.95,376,55,259,857.7,2011.12,7,3,156,30.45,4,63,0
계양구,계양동,아주,69.42,480,204,191,631,1991.04,27.08,3,145,30.45,4,63,0
계양구,계양동,아주,79.33,480,36,189,625.1,1991.04,27.08,3,140,30.45,4,63,0
계양구,계양동,아주,72.72,480,240,182,602.3,1991.04,27.08,3,134,30.45,4,63,0
계양구,계양동,풍림아이원,82.33,207,16,310,"1,023.90",2005.11,13.01,3,267,30.45,4,63,0
계양구,계양동,풍림아이원,106.44,207,191,263,869.6,2005.11,13.01,3,235,30.45,4,63,0
계양구,계양동,한화꿈에그린,82.64,670,140,321,"1,060.10",2005.11,13.01,3,284,30.45,4,63,0
계양구,계양동,한화꿈에그린,105.78,670,530,293,968.8,2005.11,13.01,3,251,30.45,4,63,0
계양구,계양동,계양벽산블루밍,113.22,138,86,265,875.9,2009.1,9.02,3,208,30.45,4,63,0
계양구,계양동,계양벽산블루밍,116.56,138,12,257,850.8,2009.1,9.02,3,202,30.45,4,63,0
계양구,계양동,계양벽산블루밍,137.37B,138,39,258,854.3,2009.1,9.02,3,178,30.45,4,63,0
계양구,계양동,계양벽산블루밍,138.31A,138,1,257,848.5,2009.1,9.02,3,177,30.45,4,63,0
계양구,계양동,신동아,76.03,"1,192",536,260,858.7,1997.03,21.09,3,217,30.45,4,63,0
계양구,계양동,신동아,105.78,"1,192",560,215,711,1997.03,21.09,3,187,30.45,4,63,0
계양구,계양동,신동아,135.53,"1,192",96,199,658.6,1997.03,21.09,3,155,30.45,4,63,0
계양구,계양동,동양우남푸르미아,109.74C,158,74,305,"1,009.20",2011.12,7,3,241,30.45,4,63,0
계양구,계양동,동양우남푸르미아,110.30A,158,42,304,"1,004.00",2011.12,7,3,240,30.45,4,63,0
계양구,계양동,동양우남푸르미아,110.36B,158,42,304,"1,003.50",2011.12,7,3,240,30.45,4,63,0
계양구,계양동,동양지구휴먼빌,110.64,466,317,276,911.3,2007.1,11.02,3,235,30.45,4,63,0
계양구,계양동,동양지구휴먼빌,142.86,466,149,252,833,2007.1,11.02,3,206,30.45,4,63,0
계양구,계양동,한진해모로,78.99,478,478,348,"1,150.90",2006.07,12.05,3,269,30.45,4,63,0
계양구,작전서운동,경남아너스빌,130.93,255,180,309,"1,022.60",2007.09,11.03,0,225,3.79,4,23,0
계양구,작전서운동,경남아너스빌,162.91,255,75,292,963.9,2007.09,11.03,0,206,3.79,4,23,0
계양구,작전서운동,임광그대家,112.62B,355,92,329,"1,086.10",2009.1,9.02,0,258,3.79,4,23,0
계양구,작전서운동,임광그대家,112.79A,355,45,328,"1,084.40",2009.1,9.02,0,257,3.79,4,23,0
계양구,작전서운동,임광그대家,112.79C,355,26,328,"1,084.40",2009.1,9.02,0,257,3.79,4,23,0
계양구,작전서운동,임광그대家,144.84A,355,97,283,935.8,2009.1,9.02,0,221,3.79,4,23,0
계양구,작전서운동,임광그대家,144.86B,355,95,283,935.6,2009.1,9.02,0,221,3.79,4,23,0
계양구,계산동,계산주공,69.42,"1,140",270,299,988.1,1991.04,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,56.19,"1,140",270,289,956,1991.04,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,52.89B,"1,140",1,288,953.2,1991.04,27.08,2,246,4.55,5,91,1
계양구,계산동,계산주공,52.89A,"1,140",60,288,953.2,1991.04,27.08,2,245,4.55,5,91,1
계양구,계산동,계산주공,52.89,"1,140",299,288,953.2,1991.04,27.08,2,236,4.55,5,91,1
계양구,계산동,계산주공,72.72,"1,140",180,285,943.3,1991.04,27.08,2,234,4.55,5,91,1
계양구,계산동,계산주공,59.5,"1,140",60,273,902.8,1991.04,27.08,2,227,4.55,5,91,1
계양구,계산동,극동,99.17,629,30,272,900,1985.07,33.05,2,163,4.55,5,91,1
계양구,계산동,극동,62.81,629,240,247,815.8,1985.07,33.05,2,146,4.55,5,91,1
계양구,계산동,극동,85.95,629,160,244,807.7,1985.07,33.05,2,143,4.55,5,91,1
계양구,계산동,극동,69.42,629,139,241,797.6,1985.07,33.05,2,133,4.55,5,91,1
계양구,계산동,극동,49.58,629,60,232,766.8,1985.07,33.05,2,126,4.55,5,91,1
계양구,계산동,기산,92.56,142,66,221,732.2,1996.07,22.05,2,175,4.55,5,91,1
계양구,계산동,기산,82.64,142,76,221,730,1996.07,22.05,2,173,4.55,5,91,1
계양구,계산동,뉴서울,79.33,92,23,227,750.1,1993.12,25,2,186,4.55,5,91,1
계양구,계산동,뉴서울,69.42,92,46,216,714.3,1993.12,25,2,175,4.55,5,91,1
계양구,계산동,뉴서울,95.86,92,23,203,672.5,1993.12,25,2,166,4.55,5,91,1
계양구,계산동,동남(55-1),56.19,336,84,213,703,1990.07,28.05,2,160,4.55,5,91,1
계양구,계산동,동남(55-1),79.33,336,60,208,687.6,1990.07,28.05,2,158,4.55,5,91,1
계양구,계산동,동남(55-1),72.72,336,48,203,670.5,1990.07,28.05,2,151,4.55,5,91,1
계양구,계산동,동남(55-1),69.42,336,144,202,666.7,1990.07,28.05,2,144,4.55,5,91,1
계양구,계산동,"삼보1,2차",72.72,474,36,220,727.3,1987.1,31.02,2,120,4.55,5,91,1
계양구,계산동,"삼보1,2차",56.19,474,360,218,720.7,1987.1,31.02,2,167,4.55,5,91,1
계양구,계산동,"삼보1,2차",62.81,474,72,215,710.5,1987.1,31.02,2,160,4.55,5,91,1
계양구,계산동,삼보3차,56.19,366,60,214,706,1988.11,30.01,2,158,4.55,5,91,1
계양구,계산동,삼보3차,66.11,366,180,212,700.1,1988.11,30.01,2,143,4.55,5,91,1
계양구,계산동,삼보3차,79.33,366,6,205,677.2,1988.11,30.01,2,167,4.55,5,91,1
계양구,계산동,삼보3차,76.03,366,120,204,673.9,1988.11,30.01,2,166,4.55,5,91,1
계양구,계산동,삼천리,66.11,460,30,234,775.1,1986.06,32.06,2,164,4.55,5,91,1
계양구,계산동,삼천리,62.81,460,100,231,763.2,1986.06,32.06,2,160,4.55,5,91,1
계양구,계산동,삼천리,59.5,460,80,223,736.2,1986.06,32.06,2,136,4.55,5,91,1
계양구,계산동,삼천리,56.19,460,80,209,691.3,1986.06,32.06,2,135,4.55,5,91,1
계양구,계산동,삼천리,49.58,460,90,205,676.8,1986.06,32.06,2,126,4.55,5,91,1
계양구,계산동,삼천리,52.89,460,80,203,671.9,1986.06,32.06,2,120,4.55,5,91,1
계양구,계산동,삼환1차,79.33,276,84,246,812.6,1989.12,29,2,174,4.55,5,91,1
계양구,계산동,삼환1차,69.42,276,84,238,785.7,1989.12,29,2,173,4.55,5,91,1
계양구,계산동,삼환1차,89.25,276,108,235,777.8,1989.12,29,2,170,4.55,5,91,1
계양구,계산동,삼환2차,79.33A,144,2,243,802.2,1989.12,29,2,176,4.55,5,91,1
계양구,계산동,삼환2차,79.33,144,40,243,802.2,1989.12,29,2,176,4.55,5,91,1
계양구,계산동,삼환2차,89.25,144,60,241,796.4,1989.12,29,2,174,4.55,5,91,1
계양구,계산동,삼환2차,69.42,144,42,223,738.1,1989.12,29,2,166,4.55,5,91,1
계양구,계산동,서해3차,79.33,498,252,202,666.7,1991.08,27.04,2,164,4.55,5,91,1
계양구,계산동,서해3차,76.03,498,204,197,652.2,1991.08,27.04,2,158,4.55,5,91,1
계양구,계산동,세경,69.42,80,80,205,678.6,1984.06,34.06,2,156,4.55,5,91,1
계양구,계산동,신도브래뉴,115.84,481,40,302,998.8,2005.05,13.07,2,151,4.55,5,91,1
계양구,계산동,신도브래뉴,79.63,481,234,298,986,2005.05,13.07,2,151,4.55,5,91,1
계양구,계산동,신도브래뉴,105.49,481,207,280,924.5,2005.05,13.07,2,251,4.55,5,91,1
계양구,계산동,영남,72.72,360,60,206,681.9,1990.12,28,2,229,4.55,5,91,1
계양구,계산동,영남,69.42,360,180,206,681,1990.12,28,2,218,4.55,5,91,1
계양구,계산동,영남,66.11,360,60,200,662.6,1990.12,28,2,160,4.55,5,91,1
계양구,계산동,영남,59.5,360,60,193,638.9,1990.12,28,2,154,4.55,5,91,1
계양구,계산동,원흥,66.11,170,128,208,687.6,1992.05,26.07,2,151,4.55,5,91,1
계양구,계산동,원흥,59.5,170,36,206,680.6,1992.05,26.07,2,122,4.55,5,91,1
계양구,계산동,원흥,76.03,170,6,194,641.3,1992.05,26.07,2,170,4.55,5,91,1
계양구,계산동,은행강북,128.92,216,216,264,871.8,1997.07,21.05,2,161,4.55,5,91,1
계양구,계산동,은행삼보,112.39,436,260,303,"1,000.10",1998.08,20.04,2,160,4.55,5,91,1
계양구,계산동,은행삼보,125.62,436,88,283,934.2,1998.08,20.04,2,217,4.55,5,91,1
계양구,계산동,은행삼보,142.14,436,88,257,848.9,1998.08,20.04,2,245,4.55,5,91,1
계양구,계산동,은행아주,79.33B,612,144,321,"1,062.60",1997.07,21.05,2,227,4.55,5,91,1
계양구,계산동,은행아주,81.98A,612,22,311,"1,028.30",1997.07,21.05,2,201,4.55,5,91,1
계양구,계산동,은행아주,95.86,612,446,303,"1,000.10",1997.07,21.05,2,265,4.55,5,91,1
계양구,계산동,은행태산,125.62,544,544,271,894.7,1997.08,21.04,2,261,4.55,5,91,1
계양구,계산동,은행태평,89.25,574,460,300,990.8,1997.06,21.06,2,256,4.55,5,91,1
계양구,계산동,은행태평,105.78,574,114,293,968.8,1997.06,21.06,2,227,4.55,5,91,1
계양구,계산동,인정프린스,105.78,299,72,232,765.7,1992.04,26.08,2,272,4.55,5,91,1
계양구,계산동,인정프린스,82.64,299,22,227,750,1992.04,26.08,2,251,4.55,5,91,1
계양구,계산동,인정프린스,99.17,299,61,224,741.7,1992.04,26.08,2,194,4.55,5,91,1
계양구,계산동,인정프린스,128.92,299,63,213,705.2,1992.04,26.08,2,194,4.55,5,91,1
계양구,계산동,인정프린스,92.56,299,31,209,691.1,1992.04,26.08,2,182,4.55,5,91,1
계양구,계산동,인정프린스,95.86,299,22,203,672.5,1992.04,26.08,2,178,4.55,5,91,1
계양구,계산동,인정프린스,112.39,299,28,200,661.8,1992.04,26.08,2,178,4.55,5,91,1
계양구,계산동,지산그라띠아,109.63,137,69,251,829.2,2003.07,15.05,2,172,4.55,5,91,1
계양구,계산동,지산그라띠아,119.44,137,10,237,781.9,2003.07,15.05,2,167,4.55,5,91,1
계양구,계산동,지산그라띠아,82.18,137,48,231,764.3,2003.07,15.05,2,182,4.55,5,91,1
계양구,계산동,지산그라띠아,50.76,137,10,192,635,2003.07,15.05,2,176,4.55,5,91,1
계양구,계산동,태산저층,59.5,408,36,208,688.9,1990.07,28.05,2,167,4.55,5,91,1
계양구,계산동,태산저층,69.42,408,72,202,666.7,1990.07,28.05,2,170,4.55,5,91,1
계양구,계산동,태산저층,52.89,408,119,199,656.3,1990.07,28.05,2,170,4.55,5,91,1
계양구,계산동,태산저층,52.89A,408,1,199,656.3,1990.07,28.05,2,166,4.55,5,91,1
계양구,계산동,태산저층,56.19,408,180,196,647.2,1990.07,28.05,2,160,4.55,5,91,1
계양구,계산동,태평저층,56.19,432,168,231,764.8,1990.12,28,2,160,4.55,5,91,1
계양구,계산동,태평저층,69.42,432,168,223,738.1,1990.12,28,2,169,4.55,5,91,1
계양구,계산동,태평저층,76.03,432,48,201,663.1,1990.12,28,2,166,4.55,5,91,1
계양구,계산동,태평저층,72.72,432,48,199,659.2,1990.12,28,2,158,4.55,5,91,1
계양구,계산동,"팬더1,2차",56.19,504,12,214,706,1989.09,29.03,2,151,4.55,5,91,1
계양구,계산동,"팬더1,2차",69.42,504,36,207,683.4,1989.09,29.03,2,147,4.55,5,91,1
계양구,계산동,"팬더1,2차",76.03,504,36,204,673.9,1989.09,29.03,2,137,4.55,5,91,1
계양구,계산동,"팬더1,2차",62.81,504,150,201,665.8,1989.09,29.03,2,131,4.55,5,91,1
계양구,계산동,하나,66.11,994,108,257,850.1,1988.07,30.05,2,185,4.55,5,91,1
계양구,계산동,하나,59.5,994,48,252,833.4,1988.07,30.05,2,176,4.55,5,91,1
계양구,계산동,하나,52.89,994,288,251,828.2,1988.07,30.05,2,169,4.55,5,91,1
계양구,계산동,하나,56.19,994,550,245,808.9,1988.07,30.05,2,161,4.55,5,91,1
계양구,계산동,한국,105.78,416,416,265,875,1991.05,27.07,2,227,4.55,5,91,1
계양구,계산동,한미삼오,82.64,151,79,218,720,1996.12,22,2,177,4.55,5,91,1
계양구,계산동,한미삼오,56.19,151,12,209,691.3,1996.12,22,2,170,4.55,5,91,1
계양구,계산동,한미삼오,95.86,151,15,206,681.1,1996.12,22,2,163,4.55,5,91,1
계양구,계산동,한미삼오,105.78,151,45,203,671.9,1996.12,22,2,160,4.55,5,91,1
계양구,계산동,현대,89.25,"1,248",306,275,907.5,1992.02,26.1,2,217,4.55,5,91,1
계양구,계산동,현대,105.78,"1,248",806,255,843.8,1992.02,26.1,2,213,4.55,5,91,1
계양구,계산동,현대,165.29,"1,248",136,213,705,1992.02,26.1,2,145,4.55,5,91,1
계양구,작전동,가나안미도,99.17,480,180,217,716.7,1990.11,28.01,1,188,1.8,3,39,1
계양구,작전동,가나안미도,102.47,480,150,215,709.7,1990.11,28.01,1,187,1.8,3,39,1
계양구,작전동,가나안미도,92.56,480,30,211,696.4,1990.11,28.01,1,181,1.8,3,39,1
계양구,작전동,가나안미도,82.64,480,90,200,660,1990.11,28.01,1,178,1.8,3,39,1
계양구,작전동,가나안미도,105.78,480,30,199,656.3,1990.11,28.01,1,175,1.8,3,39,1
계양구,작전동,광명11차,59.5,288,108,205,677.8,1989.12,29,1,147,1.8,3,39,1
계양구,작전동,광명11차,72.72,288,84,203,670.5,1989.12,29,1,145,1.8,3,39,1
