지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계
,,항동7가,0.017,0.017,-0.114,-0.097,0.03,-0.068,-0.157,-0.225,-0.018,-0.243,0.084,-0.159,0.013,-0.147,0.117,-0.03,0.003,-0.027,0.08,0.053,0.219,0.272,0.191,0.464,0.198,0.198,0.235,0.433,0.273,0.708,0.25,0.959,0.28,1.242,0.113,1.356,0.028,1.384,0.223,1.611,0.308,1.924,0.026,1.951,0.303,2.261,0.427,2.697,0.287,0.287,0.115,0.402,0.199,0.603,0.124,0.727,0.1,0.828,0.227,1.057,0.272,1.332,0.304,1.641,0.164,1.807,0.289,2.101,0.178,2.283,0.166,2.453
,,송학동1가,0.059,0.059,-0.176,-0.117,0.192,0.075,-0.089,-0.015,0.039,0.024,0.071,0.094,0.058,0.152,0.061,0.213,0.097,0.31,0.099,0.409,0.096,0.506,0.178,0.685,0.123,0.123,0.147,0.27,0.008,0.278,0.039,0.316,-0.033,0.283,-0.021,0.263,0.173,0.436,0.178,0.615,0.124,0.74,0.172,0.913,0.177,1.092,0.187,1.281,0.112,0.112,0.064,0.176,0.114,0.291,0.344,0.636,0.257,0.894,0.239,1.135,0.414,1.554,0.216,1.774,0.206,1.984,0.32,2.31,0.272,2.588,0.463,3.063
,,송학동2가,0.059,0.059,-0.176,-0.117,0.192,0.075,-0.089,-0.015,0.039,0.024,0.071,0.094,0.058,0.152,0.061,0.213,0.097,0.31,0.099,0.409,0.096,0.506,0.178,0.685,0.123,0.123,0.147,0.27,0.008,0.278,0.039,0.316,-0.033,0.283,-0.021,0.263,0.173,0.436,0.178,0.615,0.124,0.74,0.172,0.913,0.177,1.092,0.187,1.281,0.112,0.112,0.064,0.176,0.114,0.291,0.344,0.636,0.257,0.894,0.239,1.135,0.414,1.554,0.216,1.774,0.206,1.984,0.32,2.31,0.272,2.588,0.463,3.063
,,송학동3가,0.059,0.059,-0.176,-0.117,0.192,0.075,-0.089,-0.015,0.039,0.024,0.071,0.094,0.058,0.152,0.061,0.213,0.097,0.31,0.099,0.409,0.096,0.506,0.178,0.685,0.123,0.123,0.147,0.27,0.008,0.278,0.039,0.316,-0.033,0.283,-0.021,0.263,0.173,0.436,0.178,0.615,0.124,0.74,0.172,0.913,0.177,1.092,0.187,1.281,0.112,0.112,0.064,0.176,0.114,0.291,0.344,0.636,0.257,0.894,0.239,1.135,0.414,1.554,0.216,1.774,0.206,1.984,0.32,2.31,0.272,2.588,0.463,3.063
,,사동,0.085,0.085,0.022,0.107,0.157,0.264,0.079,0.343,0.095,0.439,0.073,0.512,0.018,0.53,0.178,0.709,0.139,0.849,0.304,1.156,0.073,1.23,0.037,1.267,0.062,0.062,0.21,0.272,0.014,0.286,0.007,0.293,0.106,0.399,0.076,0.475,0.131,0.607,0.171,0.779,0.121,0.901,0.108,1.01,0.17,1.182,0.248,1.432,0.174,0.174,0.109,0.284,0.088,0.373,0.111,0.484,0.307,0.792,0.087,0.88,0.288,1.171,0.204,1.377,0.338,1.72,0.203,1.927,0.285,2.217,0.087,2.306
,,신생동,0.085,0.085,0.022,0.107,0.157,0.264,0.079,0.343,0.095,0.439,0.073,0.512,0.018,0.53,0.178,0.709,0.139,0.849,0.304,1.156,0.073,1.23,0.037,1.267,0.062,0.062,0.21,0.272,0.014,0.286,0.007,0.293,0.106,0.399,0.076,0.475,0.131,0.607,0.171,0.779,0.121,0.901,0.108,1.01,0.17,1.182,0.248,1.432,0.174,0.174,0.109,0.284,0.088,0.373,0.111,0.484,0.307,0.792,0.087,0.88,0.288,1.171,0.204,1.377,0.338,1.72,0.203,1.927,0.285,2.217,0.087,2.306
,,신포동,0.039,0.039,0.054,0.094,0.213,0.307,0.043,0.35,0.24,0.591,-0.023,0.568,-0.131,0.436,-0.012,0.424,0.044,0.469,0.182,0.651,0.136,0.788,0.138,0.927,0.181,0.181,0.164,0.346,0.184,0.53,0.187,0.718,0.202,0.922,0.074,0.997,0.252,1.251,0.278,1.533,0.338,1.876,0.223,2.104,0.167,2.275,0.115,2.393,0.077,0.077,0.173,0.251,0.08,0.331,0.435,0.768,0.088,0.856,0.191,1.049,0.235,1.287,0.41,1.703,0.163,1.869,0.343,2.218,0.293,2.517,0.21,2.733
,,답동,0.039,0.039,0.054,0.094,0.213,0.307,0.043,0.35,0.24,0.591,-0.023,0.568,-0.131,0.436,-0.012,0.424,0.044,0.469,0.182,0.651,0.136,0.788,0.138,0.927,0.181,0.181,0.164,0.346,0.184,0.53,0.187,0.718,0.202,0.922,0.074,0.997,0.252,1.251,0.278,1.533,0.338,1.876,0.223,2.104,0.167,2.275,0.115,2.393,0.077,0.077,0.173,0.251,0.08,0.331,0.435,0.768,0.088,0.856,0.191,1.049,0.235,1.287,0.41,1.703,0.163,1.869,0.343,2.218,0.293,2.517,0.21,2.733
,,신흥동1가,0.023,0.023,0.014,0.036,0.024,0.06,-0.017,0.043,0.023,0.066,0.186,0.252,0.005,0.257,0.002,0.259,0.017,0.276,0.398,0.675,0.022,0.696,0.03,0.727,0.129,0.129,0.247,0.376,0.277,0.654,0.308,0.964,0.415,1.383,0.046,1.43,0.491,1.927,0.246,2.178,0.431,2.619,0.047,2.667,0.5,3.181,0.365,3.558,0.237,0.237,0.141,0.377,0.155,0.533,0.364,0.899,0.258,1.159,0.087,1.247,0.255,1.505,0.309,1.819,0.209,2.031,0.382,2.421,0.354,2.784,0.242,3.033
,,신흥동2가,0.023,0.023,0.014,0.036,0.024,0.06,-0.017,0.043,0.023,0.066,0.186,0.252,0.005,0.257,0.002,0.259,0.017,0.276,0.398,0.675,0.022,0.696,0.03,0.727,0.129,0.129,0.247,0.376,0.277,0.654,0.308,0.964,0.415,1.383,0.046,1.43,0.491,1.927,0.246,2.178,0.431,2.619,0.047,2.667,0.5,3.181,0.365,3.558,0.237,0.237,0.141,0.377,0.155,0.533,0.364,0.899,0.258,1.159,0.087,1.247,0.255,1.505,0.309,1.819,0.209,2.031,0.382,2.421,0.354,2.784,0.242,3.033
