시군구,행정구역,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,3년간 평균
남동구,장수서창동,-0.02,0.126,0.564,0.17,0.314,0.257,0.377,0.206,0.334,-0.094,0.291,0.357,0.324,0.665,0.582,0.533,0.631,0.6,-0.563,0.08,0.554,0.588,0.053,0.873,1.231,-0.442,0.049,2.086,0.569,-0.16,0.13,0.466,0.319,0.344,0.472,0.391,0.36825
남동구,서창동,-0.213,-0.024,0.387,0.091,0.245,0.256,0.547,0.287,0.243,0.244,0.183,0.3,0.162,0.249,0.386,0.323,0.328,0.363,-0.523,0.595,-0.26,-0.054,0.09,0.081,0.197,0.221,-0.089,0.441,-0.233,0.095,0.456,0.183,0.137,0.347,0.357,0.248,0.184611111
남동구,합계,0.011,0.124,0.103,0.194,0.13,0.124,0.194,0.18,0.187,0.232,0.185,0.184,0.153,0.258,0.314,0.336,0.315,0.333,0.373,0.447,0.238,0.145,0.175,0.154,0.112,0.169,0.223,0.297,0.316,0.385,0.339,0.322,0.359,0.429,0.444,0.417,0.24725
동구,만석동,0.108,0.113,-0.226,0.046,0.241,0.153,-0.064,0.127,0,0.166,0.29,0.019,0.087,0.071,0.048,0.361,0.092,-0.182,-0.037,-0.056,0.309,0.327,0.359,0.05,0.144,0.143,0.29,0.425,0.153,0.388,0.18,0.141,0.238,0.099,0.088,0.218,0.136361111
동구,화수동,0.412,0.2,-0.078,0.28,0.5,0.334,-0.058,0.364,-0.374,-0.594,-0.722,0.29,0.248,0.632,0.794,0.118,0.936,0.214,0.17,0.168,0.636,0.894,0.712,0.114,0.41,0.868,0.28,0.568,0.22,0.52,0.378,0.476,0.344,0.616,0.468,0.274,0.322555556
동구,송현동,0.091,0.019,-0.033,0.125,0.091,0.1,-0.006,0.124,0.06,0.2,0.277,0.275,0.04,0.317,0.097,0.297,0.193,0.04,-0.033,0.029,0.03,0.108,0.131,0.197,0.198,0.068,0.246,0.181,0.334,0.19,0.27,0.14,0.142,0.196,0.232,0.152,0.142166667
동구,송림동,0.127,0.005,-0.027,0.145,0.122,0.086,-0.115,0.521,0.256,0.624,0.283,0.112,0.168,0.194,0.49,0.031,0.222,0.256,0.174,0.128,0.349,0.254,0.207,0.51,0.105,0.192,0.361,0.278,0.354,0.131,0.313,0.218,0.104,0.382,0.19,0.281,0.223083333
동구,금창동,0.348,0.098,-0.37,0.242,0.896,0.344,-0.856,0.644,1.29,1.01,0.438,0.08,0.248,0.52,0.354,0.35,0.784,0.296,-0.214,0.01,0.408,1.772,0.874,0.642,0.362,0.54,0.316,0.764,0.242,0.64,0.158,0.33,0.586,0.568,0.732,0.438,0.441222222
동구,합계,0.121,0.037,-0.066,0.122,0.154,0.112,-0.073,0.279,0.12,0.31,0.217,0.157,0.103,0.234,0.261,0.185,0.223,0.093,0.049,0.055,0.22,0.256,0.227,0.277,0.156,0.167,0.279,0.271,0.284,0.211,0.256,0.179,0.152,0.262,0.201,0.21,0.175027778
미추홀구,숭의동,0.158,0.324,0.432,0.148,0.107,-0.077,0.479,0.261,0.462,0.215,0.243,0.186,0.176,0.173,0.27,0.199,0.271,0.366,0.265,0.247,0.331,0.265,0.243,0.221,0.107,0.319,0.296,0.046,0.517,0.542,0.229,0.33,0.594,0.429,0.387,0.354,0.280972222
미추홀구,용현동,0.006,0.233,0.187,0.285,0.112,-0.127,0.21,0.143,0.124,0.252,0.251,0.116,0.164,0.182,0.237,0.294,0.352,0.303,0.358,0.272,0.387,0.286,0.37,0.246,0.167,0.258,0.212,0.071,0.162,0.384,0.266,0.201,0.371,0.509,0.563,0.289,0.241555556
미추홀구,학익동,0.054,0.133,0.126,-0.043,0.056,-0.069,0.024,-0.054,-0.067,0.1,0.082,0.139,0.087,0.144,0.259,0.135,0.104,0.248,0.263,0.117,0.115,0.027,0.228,0.216,0.112,0.244,0.198,0.217,0.318,0.212,0.242,0.253,0.24,0.439,0.502,0.457,0.162722222
미추홀구,도화동,0.022,0.036,0.18,0.045,0.045,-0.06,0.094,0.137,-0.074,0.206,0.179,0.109,0.096,0.191,0.198,0.074,0.127,0.142,0.231,0.367,0.225,0.248,0.143,0.136,0.162,0.163,0.15,0.237,0.08,0.238,0.229,0.409,0.565,0.431,0.462,0.335,0.182166667
미추홀구,주안동,0.159,0.152,0.185,0.009,0.167,-0.009,0.318,0.311,0.231,0.261,0.189,0.123,0.057,0.092,0.242,0.184,0.331,0.355,0.489,0.45,0.515,0.277,0.347,0.267,0.159,0.289,0.332,0.079,0.427,0.425,0.338,0.254,0.348,0.46,0.431,0.445,0.269138889
